Title,Company,Location,Type,Level,YearsExp,Country,Skills
Sales Supervisor - Beni Suef,OPPO Egypt,Beni Suef,Full Time,Manager,2-6 Yrs of Exp,Egypt,"Supervisor, OPPO, Sales Skills, Sales Target, Customer Service, English, Sales/Retail"
Electrical Sales Engineer,Confidential,Heliopolis,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Electrical Engineering, Electronics, Sales Skills, Customer Care, Customer Service, Customer Support, LV, MV, Sales Target"
Accountant - Alexandria,MENA For Contracting & Trading,Alexandria,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Finance, Real Estate, Construction, English, Microsoft Office, Financial Analysis, Financial Management, Excel"
Advertising Account Executive,Keep In Touch Advertising Company,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Account Management, Sales Skills, Business Deveopement, Sales Target, English, Business Development, Sales/Retail"
Senior Full Stack Java Developer,Confidential,Cairo,Part Time,Work From Home,3-4 Yrs of Exp,Egypt,"2 Vacancies, Agile, Angular, Information Technology (IT), Computer Science, Software Development, javaScript, Docker, NodeJS"
Senior Sales Specialist,NowPay,Downtown,Full Time,Manager,5-10 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Indoor Sales, Marketing, Economics, Business Administration, Arabic, English, Excel, MS Office, Sales Plan"
Assistant Store Manager (Alexandria),A2Z Lingerie,Alexandria,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Sales, Fashion Retail, Store Mangement, MS Office, English, MS Excel, Microsoft Office, Operations/Management, Sales/Retail"
Recruitment Coordinator - Intern,Azadea Group,New Cairo,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Recruitment, Interviewing, Screening, Sourcing, Filtering, Hiring, Talent Acquisition, Interview Assessments"
Sales Manager - Maadi Branch,Smart Group,Maadi,Full Time,Manager,8+ Yrs of Exp,Cairo,"Sales Target, Real Estate, Forecasting, People Management, Operations/Management, Sales/Retail"
Chief Accountant- Tanta,EL-RAYA,Tanta,Full Time,Manager,3-5 Yrs of Exp,Gharbia,"Finance, Financial Management, CMA, Financial Analysis, Accounting/Finance"
Product Specialist (Outdoor Medical Sales) -...,Confidential,Dakahlia,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Sales Skills, Science, Veterinary, Pharmacy, English, Agriculture, Ms Office, R&D/Science, Sales/Retail, Pharmaceutical"
Quality Control & Testing Engineer - FMCG,Confidential,Abu Rawash,Full Time,Experienced,5-12 Yrs of Exp,Giza,"Science, Quality Control, Quality Assurance, Agriculture, FMCG, HACCP, Engineering, Computer Skills, QA, QC, Testing"
Real Estate Property Consultant,The Address Investments for Real Estate Consultancy,New Cairo,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Real Estate, New Cairo, Sales Target, Sales Skills, English, Property Sales, Property Consultant, Customer Service/Support"
Medical Representative - Cairo,Infomine Market Research,Cairo,Full Time,Entry Level,null Yrs of Exp,Egypt,"Sales Skills, Science, Dentistry, Sales Target, Healthcare, Medical Sales, Pharmacy, Pharmaceutical, Medical/Healthcare"
Senior Software Developer - .Net,DigitalYard,Heliopolis,Full Time,Experienced,4+ Yrs of Exp,Cairo,"javaScript, ASP.NET, MVC 5, Web Development, Software Engineering, C#, jQuery, Entity Framework, MSSQL, SaaS, Azure, HTML"
Payroll Assistant (French/English Speakers),Groupe Oasis Scolaire,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Human Resources (HR), Commerce, French, Administration, English, Human Resources"
Quality Control Team Leader,Euromed for medical industries,Nasr City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Communication Skills, Manufacturing, Science, Quality Control, Quality Assurance, Medical Supplies, Word, Excel, R&D/Science, Quality"
