Title,Company,Location,Type,Level,YearsExp,Country,Skills
Operations Manager,Almotaheda,Nasr City,Full Time,Manager,7-12 Yrs of Exp,Cairo,"Management, Communication Skills, Operations/Management"
iOS Developer,Korashi Group,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Information Technology (IT), Software Engineering, Swift, APIs, Objective-C, iOS, IT/Software Development"
Quantity Surveyor Engineer - مهندس مساحة,Agec,Cairo,Full Time,Experienced,8+ Yrs of Exp,Egypt,"Quantity Surveyor, Engineering - Construction/Civil/Architecture"
Export Sales & Logistics Specialist,Euro Van International,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Export, Logistics, MS Office, Communication Skills, Supply Chain, English, Business Administration, Sales Target"
Web Developer,Yis Web,Sheikh Zayed,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Computer Science, Web Development, Software Development, javaScript, HTML, PHP, CSS, Git, MySQL, AJAX, Design"
Customer Support Specialist,4level1,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Service, Customer Support, Communication, CS, Handling, Industry, Customer Care, Customer Service/Support"
Installation Team Leader - New Cairo,"General Star Business Development Co.,(Egypt)",New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Installation, Engineering, Computer Science, English, Microsoft Office, Installation/Maintenance/Repair, Engineering - Other"
Graphic Designer,Shifa Egypt,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Illustrations, Creative/Design/Art, Marketing/PR/Advertising"
PR & Marketing Manager,AMACO,6th of October,Full Time,Manager,3+ Yrs of Exp,Giza,"Public Relations (PR), Social Media, Advertising, Events, Online Marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Outdoor Sales Representative - Sharqia,Penguin,Sharqia,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Skills, Outdoor Sales, Sales Target, Home Appliances, Excel, Communication Skills, Sales/Retail"
Brand Manager,Nola Bakery,New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Advertising, Brand Management, FMCG, Market Research, Branding, English, Food, Marketing/PR/Advertising, Media/Journalism/Publishing"
Farm Manager,Misr Elhegaz Group,Heliopolis,Full Time,Manager,10+ Yrs of Exp,Cairo,"Males Only, Animal Science, Production, Farms, Farming, Agriculture Engineering, Management, R&D/Science, Operations/Management"
Store Keeper - Beheira,EGIC,Beheira,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain"
Mechanical Site Engineer - Hurghada,Watco Egypt,Hurghada,Full Time,Entry Level,0-1 Yrs of Exp,Red Sea,"Mechanical Engineering, HVAC, Mechanics, Site Engineer, Engineering - Mechanical/Electrical"
Engineering Manager,Profolio Consulting,Maadi,Full Time,Manager,8-10 Yrs of Exp,Cairo,"Project Management, Information Technology (IT), Computer Science, Software, Leadership, Projects, DevOps, React, Product"
Financial Manager,EL Chourbagui Textiles,10th of Ramadan City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Financial Management, Textile, Finance, Financial Analysis, Accounting/Finance, Operations/Management"
Hôtesse D'accueil / Standardiste - (Receptionist)...,Groupe Oasis Scolaire,Maadi,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Office Management, Microsoft Office, Secretary, Arabic, English, French, Administration"
Key Account Manager (Exports Business...,Confidential,New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Females Preferred, B2B Sales, Sales Skills, Customer Service, Business Development, Exports, Logistics, Supply Chain, English"
