Title,Company,Location,Type,Level,YearsExp,Country,Skills
Senior Sales Account Manager,eSky IT,New Cairo,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Selling, technical, IT, SOLUTIONS, Customer Service, Computer Science, Information Technology (IT)"
Admin Assistant,IFT Corporation,Mokattam,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Secretary, Business Administration, Commerce, English, Administration"
Technical Lead / Architect,Keys Group Services,Maadi,Full Time,Manager,10+ Yrs of Exp,Cairo,"Software Engineering, .NET, Cloud, Computer Science, Technical Lead, Architect, software development"
Full Stack .Net Team Leader,infasme.com,Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Computer Science, Software Development, .NET, MVC, C#, Azure, Design, AWS, SQL Server, IT/Software Development"
Quality Coordinator,Atheel CC,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Microsoft Excel, Microsoft PowerPoint, Call Center, Quality Assurance, Customer Service/Support, Quality"
Medical Advisor,Confidential,Alexandria,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Pharmacy, Sales Skills, Indoor Sales, Outdoor Sales, English, Medical Sales, Pharmaceuticals, Medical/Healthcare, Sales/Retail"
Production & Toll Manufacturing Manager,Majestic Pharmaceuticals,New Cairo,Full Time,Manager,4-10 Yrs of Exp,Cairo,"Production, Manufacturing/Production, Pharmaceutical"
Telesales Representative,Engosoft,Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Telesales, Real Estate, Insurance, Communication Skills, Customer Service, English, Banking, Customer Service/Support"
Technical Trainer - HIMS/ERP,eDoctor Software,Dokki,Full Time,Experienced,2-5 Yrs of Exp,Giza,"ERP, Information Technology (IT), Training, Accounting, English, Education/Teaching, Training/Instructor"
Backend/Opencart Developer,Kandil Egypt,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Information Technology (IT), PHP, javaScript, Software, E-Commerce, OpenCart, Computer Science, WordPress, My SQL, Angular JS, JQuery"
Software QC Tester - Remotely,Pan Arab Media Inc,Maadi,Full Time,Work From Home,1+ Yrs of Exp,Cairo,"QC, Software Testing, Software Development, Quality Control, Computer Science, UI/UX, Automation, ISTQB/CT-FL, Engineering"
Senior Cost Control Specialist,Alexandria Trading and Engineering Bureau,Sidi Gaber,Full Time,Experienced,5+ Yrs of Exp,Alexandria,"Cost Control, Finance, Commerce, English, Computer Skills, Communication Skills, Accounting/Finance"
