Title,Company,Location,Type,Level,YearsExp,Country,Skills
Preschool French Teacher,Leap Development Hub,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Education, Education/Teaching"
E-commerce Manager - Retail & Home Appliances...,Raneen,Giza,Full Time,Manager,5-10 Yrs of Exp,Giza,"Social Media, E-marketing, Communication, Management, Logistics, Web Merchandising, Financial Analysis, Market Research, Sales/Retail"
SEO / SEM Specialist,Semicolon Agency,Cairo,Full Time,Work From Home,2-4 Yrs of Exp,Egypt,"SEM, Digital, Advertising, PPC, Marketing Campaigns, ROI, Social Media, SEO Strategy, Marketing/PR/Advertising"
Store Manager - Home Appliances - Mansoura,Confidential,Mansoura,Full Time,Manager,6+ Yrs of Exp,Dakahlia,"Household Appliances, Sales Skills, Sales Target, Customer Service, Showroom, Home Appliances, Business, Operation, Operations/Management"
Senior Software Developer (Python - AI),CrossWorkers,New Cairo,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Information Technology (IT), Software Development, Software Engineering, Python, Programming, C++, Web Applications, Frameworks"
Sales Consultant - Alexandria,Reach Group,San Stefano,Full Time,Experienced,5-7 Yrs of Exp,Alexandria,"Sales Skills, Sales Target, Communication Skills, Real Estate, Medical Insurance, Banking, English, Sales/Retail"
Quality Assurance Team Leader,Caelum Middle East,Dokki,Full Time,Manager,7+ Yrs of Exp,Giza,"Quality Assurance, Software Testing, Management, Computer Science, SQL, QA, English, IT, Information Technology, Quality"
Facade Site Engineer.,Smart Window,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Aluminum, Facade, Engineering - Construction/Civil/Architecture"
Senior Personnel & Payroll Specialist,Confidential,Sheikh Zayed,Full Time,Experienced,5-8 Yrs of Exp,Giza,"Personnel, Payroll, Labor Law, Human Resources (HR), Communication Skills, MS. Excel, Human Resources"
Senior HR Recruitment officer,EL Mohandess Press,10th of Ramadan City,Full Time,Experienced,5-8 Yrs of Exp,Sharqia,"Recruitment, Human Resources (HR), Manufacturing, Blue Collars, White Collars, MS Office, Commerce, Human Resources"
Corporate Sales Executive,IT Cores,Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Males Preferred, Sales Skills, B2B, IT, Sales Target, CRM Software, English, Information Technology, Corporate Sales, Sales/Retail"
React Native Mobile Developer,Beyond Solution,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Andriod, Mobile Application, Git, Cross Platform, APIs, SDK, Computer Science, Angular, UI, RESTful, Information Technology (IT)"
Lab Receptionist,Cairoscan,Giza,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Males Only, Medical, Administration, Customer Service, Customer Support, Customer Care, Microsoft Office, Receptionist, Front Office"
Sales Executive,Zeal Capital Market,Sheraton,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Females Preferred, Forex, Trading, Sales Skills, Business Development, Business Development, Customer Service/Support, Sales/Retail"
Internal Auditor Supervisor,Al-Madina,Manial,Full Time,Manager,7+ Yrs of Exp,Cairo,"Internal Audit, Finance, Accounting, CPA, MBA, ACCA, Risk Management, Financial Analysis, Quality Assurance, Accounting/Finance"
Retail Sales Representative - Assuit,Etisal EG,Assuit,Full Time,Entry Level,1-3 Yrs of Exp,Assiut,"Sales Target, Sales Skills, Customer Service/Support, Sales/Retail"
Senior Financial Reporting Analyst,Nagwa,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Accounting, Financial Analysis, Reporting, English, Accounting/Finance"
Data Architect - Saudi Arabia,Altayar recruitment,Riyadh,Full Time,Experienced,2+ Yrs of Exp,Saudi Arabia,"Computer Science, Computer Engineering, Database, IT/Software Development, Engineering - Telecom/Technology"
Accountant - Alexandria,Egaz,Alexandria,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Accounting, Finance, Financial Analysis, Financial Management, Microsoft Office, Excel, Pharmaceutical, Word, Accounting/Finance"
Sales Representative - Mohandessin,Antarmode,Giza,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Females Only, Sales Skills, Sales Target, Fashion, English, Presentation Skills, Sales/Retail, Fashion"
Mechanical Engineer,Bariq/Raya Holding,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Mechanical Maintenance, Mechanical Power Engineering, Manufacturing, Engineering - Mechanical/Electrical"
Online International School Supervisor,PAOH,Giza,Full Time,Manager,3+ Yrs of Exp,Egypt,"School Supervisor, English, Administration, Operations, Management, Administration, Operations/Management, Education/Teaching"
Online International School Math Teacher,PAOH,6th of October,Full Time,Part Time,3-6 Yrs of Exp,Giza,"10 Vacancies, Teaching, Education, inernational schools, Math, Science, English, International School, Education/Teaching"
Senior Front End Developer - Full Time,Dexef,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"angulr, senior front-end developer, senior frontend developer, Information Technology (IT), Computer Science, javaScript, HTML5"
Pre -Sales Engineer,MEEG,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Sales Skills, English, Business Development, Oil & Gas, MBA, PMP, Business Development, Sales/Retail, Engineering - Oil & Gas/Energy"
Sales Representative,Global Vision,6th of October,Full Time,Experienced,5-6 Yrs of Exp,Giza,"Smart Meters, Information Technology, Sales Skills, Sales Target, Customer Service, Computer Science, Negotiation Skills"
