Title,Company,Location,Type,Level,YearsExp,Country,Skills
Office Manager,Ebers,Alexandria,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Administration, HR, Administration, Human Resources, Legal"
"Research Intern, PhD, 2021",Google,Cairo,Internship,Entry Level,null Yrs of Exp,Egypt,"development, problem, solving, R&D/Science, Analyst/Research"
Translation Reviewers -English/Arabic & Vice...,db Group,Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Editing, Translation, Trados, English, Writing, Arabic, Writing/Editorial"
Production Planning Engineer,Mintra - Misr for Industry and Trade,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"MRP, Manufacturing Resource Planning, inventory, Microsoft Office, Logistics, Engineering, Manufacturing/Production"
Accountant,Orthomed E,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Accounting, Financial Analysis, Financial Management, Accounting/Finance"
Senior React Native Developer,Rasan,Nasr City,Full Time,Experienced,3-8 Yrs of Exp,Cairo,"Computer Science, Software Development, React, javaScript, REST APIs, Programming, Native, XCode, Gradle, IntelliJ"
Utilities Engineer,Arma,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Mechanical Engineering, Maintenance, FMCG, English, Utilities, Engineering - Mechanical/Electrical"
Senior Quality Assurance Specialist,Confidential,10th of Ramadan City,Full Time,Experienced,2-3 Yrs of Exp,Sharqia,"Quality Assurance, Quality Control, QA, Analysis, Communication Skills, Regulatory, QC, Home Appliances, Quality"
Account Manager,The Lean,Giza,Full Time,Work From Home,5+ Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Service, English, Account Management, Marketing, Customer Service/Support, Sales/Retail"
Dot Net Developer,Gulf Data International,Nasr City,Freelance / Project,Experienced,2-5 Yrs of Exp,Cairo,"Information Technology (IT), ASP.NET, MVC, REST, RPC, C#, Visual Basic .NET, HTML5, CSS3, SQL"
International Customer Service Specialist,Confidential,Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Customer Support, Customer Care, English, Computer Skills, Sales Skills, Sales Target, Customer Service/Support, Sales/Retail"
Marketing Representative,Dayrah Solutions,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Marketing, Business Administration, Sales Target, English, Social Media, Communication, Marketing/PR/Advertising"
