Title,Company,Location,Type,Level,YearsExp,Country,Skills
Community HUB Coordinator / Assistant To The...,Kiva International Preschool,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"English, Microsoft Excel, Word, Administration, Operations, Social Media Management, Design, Administration"
Outdoor Sales Agent - Gharbia,AMpro Advertising,Gharbia,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Outdoor Sales, Sales Target, Communication Skills, Sales/Retail"
Branch Manager(Monufya),B.Tech,Quweisna,Full Time,Manager,7-9 Yrs of Exp,Monufya,"Communication Skills, Branch Manager, Management, Sales Target, Retail, Sales/Retail"
"Student Training in Engineering Program, STEP...",Google,Cairo,Internship,Student,null Yrs of Exp,Egypt,"google, STEP, student, internship, technology, engineering, software, 2021, programming, IT/Software Development"
Sales Team Leader,Tender Egypt,Shorouk City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Customer Service, Communication, Marketing, Negotiation Skills, Selling Skills, English, Sales Target, People Management, Sales/Retail"
HR Specialist,Recovery franchise marketing services,6th of October,Part Time,Experienced,2-5 Yrs of Exp,Giza,"Recruitment, HR, English, Human Resources"
Sales Supervisor - North Upper Egypt,PepsiCo International,Beni Suef,Full Time,Manager,1-3 Yrs of Exp,Egypt,"FMCG, Retail, Sales Skills, Sales/Retail"
Purchasing Specialist,High Art,Sheraton,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Procurement, Supply Chain, Logistics, Negotiation Skills, Business Administration, Commerce, Communication, Contracting"
Senior Software Engineer Backend (PHP),Togar,New Nozha,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"PHP, Information Technology (IT), Software Development, CSS, Computer Science, javaScript, MySQL, HTML, OOP, AJAX, WordPress"
Senior Corporate B2B Sales Representative,Expand Cart,Alexandria,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Selling Skills, Sales Target, B2B Sales, Corporate Sales, CRM, Computer Science, Information Technology (IT), IT Sales, Sales/Retail"
Help Desk Engineer,Qsource,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Computer Science, Computer Engineering, Information Technology (IT), IT Help Desk, Mac OS, Maintenance, Installation, Customer Support"
Site Engineer (Architectural),Riwaq,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Fine Arts, Construction, Architecture Engineering, Site Engineer, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
SAP CX Developer,Agile Technologies,Maadi,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"Java, Computer Science, English, Electronics, Telecommunication, ABAP, ERP, Agile, Microservices, Implementation"
IT System Administrator,Elabd Foods,Sharabeya,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Computer Science, MCSE, MCSA, Information Technology (IT), System Administration, Computer Engineering, Telecom, Maintenance, Repair"
Arabic Teacher مدرسة لغة عربية,Leaders For Education,New Cairo,Full Time,Experienced,2-7 Yrs of Exp,Cairo,"Education, Teaching, Arabic Teacher, Writing, Editing, Education/Teaching"
Lab Chemist,FRIDAL,6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Quality Control, Quality Assurance, Chemistry, Science, Communication Skills, Health, Safety, Lab, R&D/Science, Quality"
Full Stack Web Developer,Amanleek,New Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"JS, Full Stack, HTML, CSS, PHP, MySQL, Information Technology (IT), Computer Engineering, Computer Science, Web Development, SOLID"
Business Development Engineer,Arab Consulting Engineers Moharram-Bakhoum,Dokki,Full Time,Experienced,8-15 Yrs of Exp,Giza,"Engineering, Sales, Marketing, Management, Construction, Architecture, Civil, Engineering - Construction/Civil/Architecture"
Senior Software Engineer - Python Backend,LxT,Mohandessin,Full Time,Experienced,5+ Yrs of Exp,Giza,"Software Development, Software Engineering, Information Technology (IT), Backend, Computer Science, Agile, Testing, Programming, Git"
Senior Java Developer,Nejmo,Maadi,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Information Technology (IT), MySQL, Computer Science, Software Development, Engineering, NoSQL, AWS, RESTful, Scrum, WebRTC"
Sales Account Manager - Cairo,Stand zone,15th May City,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Retail, Design, Indoor Sales, Sales Skills, Customer Support, Furniture, Customer Service, Microsoft Office, Sales Target, English"
Financial Manager,Confidential,New Cairo,Full Time,Manager,15+ Yrs of Exp,Cairo,"Financial Management, Financial Analysis, Accounting, Microsoft Office, Computer Skills, Oracle Database, Manufacturing, CMA, Banking"
