Title,Company,Location,Type,Level,YearsExp,Country,Skills
Management Software System Administrator,THE PLATFORM,Farafra,Full Time,Experienced,5-10 Yrs of Exp,New Valley,"IT, Odoo, ERP System, IT Administration, Software Engineering, Food Supply Chain, Agriculture, Computer Science"
Agriculture Biotechnologist Internship,Egyptian French Company for Plants Tissue Culture S.A.E,Obour City,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Plant Tissue Culture, Biotechnology, Micropropagation, Date Palm, Plant Science, Somatic Embryogenesis, Organogenesis, Potatoes"
Digital Marketing Manager,Confidential,Riyadh,Full Time,Manager,6-14 Yrs of Exp,Saudi Arabia,"Social Media, Advertising, Google Analytics, Marketing Campaigns, Google Adwords, E-marketing, SEM, Management, HTML, PPC"
Chief Accountant,Smart Group,Heliopolis,Full Time,Manager,6-9 Yrs of Exp,Cairo,"Financial Management, Financial Analysis, Microsoft Office, QuickBooks, Communication Skills, Corporate Tax, Accounting Software, Contracting"
Sales Account Manager,The Translation Gate,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"localization, account manager, bsiness developer, client agent, telesales, customer service, Sales Skills, Sales Target"
Accountant,Esnad,Nozha,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Finance, Microsoft Office, Accounting/Finance"
General Accountant - Giza,Premier Services and Recruitment,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,Accounting/Finance
Senior Social Media Specialist,Zocer,Haram,Full Time,Experienced,3-5 Yrs of Exp,Giza,"SEO, Facebook, Management, copy writing, Writing/Editorial, Marketing/PR/Advertising, Media/Journalism/Publishing"
Customer Relation Management,Andalusia Group,Alexandria,Full Time,Manager,2-3 Yrs of Exp,Egypt,"CRM, Customer Care, Customer Support, Communication Skills, MBA, Pharmaceutical, Customer Satisfaction, Leadership, Medicine"
Auditor - Chinese Speaker,Huawei Technologies Egypt,Cairo,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Chinese, Accounting/Finance"
Regulatory Affairs Specialist,Temco,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Pharmacy, Pharmaceutical, Veterinary Medicine, Sciences, English, R&D/Science, Logistics/Supply Chain, Pharmaceutical"
Foreign Purchasing Specialist - Fresh Graduates,Confidential,Giza,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Machinery, Foreign Purchasing, Raw Materials, Spare Parts, Logistics, Supply Chain, MRP, CKD, Production Lines, Communication Skills"
Property Consultant - Real Estate,Al Maadi Group,New Cairo,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Real Estate Sales, Sales Skills, Real Estate Development, Customer Service, Commercial, Sales Target, Sales/Retail"
Sales Executive,Industrial Development Group - IDG,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Sales Target, Customer Service, Communication Skills, English, Computer Skills, Engineering, Negotiation Skills, Sales/Retail"
