Title,Company,Location,Type,Level,YearsExp,Country,Skills
System Analysis Project Lead,LINK Development,Maadi,Full Time,Experienced,4-8 Yrs of Exp,Cairo,"Information Technology (IT), System Analysis, Business Analysis, Computer Science, CBAP, Project Management, English, Arabic, CCBA"
AR Accountant - Damietta,Nahdet Misr Publishing Group,Damietta,Full Time,Experienced,2-6 Yrs of Exp,Damietta,"ERP, English, Arabic, AR, Accounts Receivable, Accounting/Finance"
Software Tester and QA - Nasr City,Maxycode,Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Information Technology (IT), Software Testing, Communication Skills, Computer Science, Quality Assurance, IT/Software Development, Quality"
Technical Support Agent,Confidential,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Technical Support, Customer Service, Customer Care, IT, Customer Service/Support"
Experienced SharePoint Developer,infasme.com,Heliopolis,Full Time,Experienced,6-8 Yrs of Exp,Cairo,"SharePoint, PowerShell, Microsoft Dynamics CRM, Software Development, Nintex Workflow, IT/Software Development, Engineering - Telecom/Technology"
IT Service Desk Engineer (Outsourcing),Interact Technology Solutions,Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Computer Science, Communications, Desktop Operating Systems, Technical Support, MS SCCM, Print Server, AV Console"
Corporate Sales Account Manager,Dar Al-Fouad Hospital,6th of October,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Account Management, Customer Service, Customer Support, Medicine, Pharmaceutical, Medical Sales Representative, Business Development"
Landscape Team Leader,Wadi Degla Group,Maadi,Full Time,Manager,8-9 Yrs of Exp,Cairo,"Landscape, Adobe Photoshop, Auto CAD 2D, Auto CAD 3D, Engineering, Designing, Engineering - Construction/Civil/Architecture"
Senior Full Stack Java Developer (AWS),Flairstech,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Web, Software Development, Computer Science, Information Technology (IT), Computer Engineering, English, MySQL, Lambda AWS"
Social Media Moderator,Cotton d'or,Shubra,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"E-marketing, Online Marketing, Content, SEO, Copywriting, Customer Service, Social Media Moderation, Customer Service/Support"
Fashion Designer - Kids Wear,Buongiorno Masr For Textile Industries,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Fashion, Adobe Photoshop, Adobe Illustrator, Adobe Indesign, Textile, Graphic Design, Creative/Design/Art, Fashion"
Recruitment & OD Specialist,Better Home,New Cairo,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Human Resources (HR), HR, English, OD, Recruitment, Microsoft Office, HR Certificate, Excel, Human Resources"
Flutter Developer,Profolio Consulting,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Computer Science, Software Development, APIs, UI, Flutter, DART, UX, UI/UX, English, Mobile App Developer"
Financial Manager,Notion International School,Faisal,Full Time,Manager,10-13 Yrs of Exp,Giza,"Financial Management, Financial Analysis, Manager, Accountant, CMA, IFRS, Financial Reports, Accounting Systems, Accounting/Finance"
Sales Accountant - Ismailia,EGIC,Ismailia,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Finance, Sales Accounting, Commerce, Budget, Reporting, Accounting/Finance"
Fitness Personal Trainer (Female & Male),Body Fit EMS fitness,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Gym, PT, Fitness, Body Composition, Personal Trainer, Customer Service, Customer Care, Sports, Sports and Leisure"
Sales Executive,Confidential,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, English, Sales/Retail"
Sales Consultant,Infinity Business Solutions,Mohandessin,Full Time,Experienced,2-6 Yrs of Exp,Giza,"Sales Skills, Sales Target, Real Estate, Sales/Retail"
Real Estate Sales Agent,RMG,New Cairo,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Microsoft Office, Sales/Retail"
