Title,Company,Location,Type,Level,YearsExp,Country,Skills
Digital Marketing Manager,GCCS Ads,New Cairo,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Social Media, Campaigns, Communication Skills, Project Management, Content, E-Commerce, Operations/Management"
Telesales Service Advisor,Alternative Education,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Telesales, Indoor Sales, Phone Sales, Telemarketing, Sales Skills, Call Center, Customer Service, Customer Care, Customer Support"
Sales Agent - Real Estate,Concept Property,Sheikh Zayed,Full Time,Entry Level,1-5 Yrs of Exp,Giza,"Sales Skills, Sales Target, Communication, English, Sales/Retail"
Personal Assistant,Byoot Bay,Giza,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Back-Office, Communication, MS Office, Business Administration, Secretary, Microsoft Office, ERP, Administration"
Android Mobile Developer,Sporfe,6th of October,Part Time,Experienced,2-3 Yrs of Exp,Giza,"Mobile Development, APIs, Information Technology (IT), Computer Science, Software Development, IT/Software Development"
Production Manager - Food Factory,Summer Moon Co.,Bourj Alarab,Full Time,Manager,10-15 Yrs of Exp,Alexandria,"Six Sigma, Food Industry, LEAN, Quality, Management, Control, Manufacturing, Production, Engineering, Logistics, HACCP, ISO, Fish"
Technical Support Agent (US Account),Flairstech,Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Technical Support, Customer Support, Customer Care, Customer Service, Software, English, Macintosh Computer, Computer Science"
HR Generalist,Confidential,Cairo,Full Time,Experienced,5-8 Yrs of Exp,Egypt,"HR, Management, Recruitment, Personnel, Microsoft Office, Labor Law, Human Resources"
Technology CTO - Saudi Arabia - Riyadh,Enwan,Riyadh,Full Time,Manager,2-10 Yrs of Exp,Saudi Arabia,"Documentation, Entrepreneurship, Agile, Software Development, Information Technology (IT), Startup, Computer Science, CTO"
Procurement Planner,LG Electronics,10th of Ramadan City,Full Time,Entry Level,1-3 Yrs of Exp,Sharqia,"SCM, Supply Chain, Engineering, CPIM, Planning, English, Computer Skills, Microsoft Office, Logistics/Supply Chain"
Sales Account Manager - Software,PanExcel,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Business Development, IT, Sales Account, Sales Skills, Sales Target, IT Sales, English, IT/Software Development, Sales/Retail"
Digital Marketing Intern,STEP,New Cairo,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Startup, E-marketing, Market Research, Communication Skills, Social Media, Computer Skills, SAP, Digital Marketing, Advertising"
Technical Support Agent,IST Networks,Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Technical Support Agent, Customer Support, Communication Skills, Technical Knowledge, Customer Service, English, Call Center"
Sales Associate,Snapology of Egypt,New Cairo,Part Time,Manager,3+ Yrs of Exp,Cairo,"Sales Target, Customer Service, Outdoor Sales, Education, Learning, Account Manager, Business Development, Customer Service/Support"
Trade Marketing Associate,Confidential,Cairo,Full Time,Experienced,3-4 Yrs of Exp,Egypt,"BTL, ATL, English, Business Administration, Market Research, Social Media, Marketing/PR/Advertising, Media/Journalism/Publishing"
Site Engineer,Maîson+,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Construction, AutoCAD, Interior Design, Architecture, Civil Engineering, Quality, Management, Residential, Commercial, TO"
