Title,Company,Location,Type,Level,YearsExp,Country,Skills
Public Relations Specialist,Door and more designs,6th of October,Part Time,Entry Level,1-3 Yrs of Exp,Giza,"Marketing, Social Media, Communication, Management, Leadership, Marketing/PR/Advertising, Media/Journalism/Publishing"
Admin Assistant,AL-FIKRY HOLDING,Sheikh Zayed,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Office Management, Administration, English, Front Office, Arabic, Receptionist, Computer Skills, Microsoft Office, Administration"
Co-Teacher (Preschool/KG),New Generation International Schools,Obour City,Full Time,Entry Level,null Yrs of Exp,Cairo,"Education, Teaching, Class Management, Education/Teaching"
Sales Representative,Le Garage Gallery,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, Sales Skills, Marketing, Luxury, CRM, Customer Service, Social Media, Communication Skills, Sales/Retail"
Medical Representative - Medical Devices (IVF),Egyptian Import Office,Cairo,Full Time,Entry Level,0-4 Yrs of Exp,Egypt,"Pharmacy, Science, Medical, Sales Skills, Sales Target, Engineering, Veterinary Medicine, English, Medical/Healthcare, Sales/Retail"
Compliance Section Head,Hi Pharm,Cairo,Full Time,Manager,4+ Yrs of Exp,Egypt,"ISO, Audit, GMP, Pharmacy, Management, Science, Compliance, Pharmaceutical, PQR, R&D/Science, Quality, Pharmaceutical"
Maintenance Manager - Industrial,Sima Food Industries,10th of Ramadan City,Full Time,Manager,10+ Yrs of Exp,Sharqia,"Maintenance Management, Industrial Engineering, Mechanical Engineering, English, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Software Project Manager,Div Systems,Mokattam,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Computer Science, Software Development, Project Management, Business, SQL, javaScript, Design, Python, PMBOK, PMP"
Java Team Leader,Egabi FSI,Sheraton,Full Time,Manager,3+ Yrs of Exp,Cairo,"Computer Science, JBPM, Java SE, Java EE, Financial Sector, Information Technology (IT), Spring Boot, Java Development, SOAP"
Marketing Specialist - New Cairo,"General Star Business Development Co.,(Egypt)",New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Social Media, E-marketing, Microsoft Office, Furniture, Woods, Market Research, Computer Skills, Marketing/PR/Advertising"
Sales Specialist - Automotive Spare Parts,Confidential,Sheraton,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Sales Target, Customer Support, Spare Parts, Retail Distribution, Automotive, Sales/Retail"
Assistant Front End Angular Developer R1,YELO,Sheraton,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Computer Science, javaScript, Angular 7+, Angular CLI, JSON, RESTful APIs, HTML5, Core, DOM, BOM, SASS, CSS3"
Receptionist/Branch Manager,MWG,Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Customer Service, Customer Care, Administration, Receptionist, Secretary, Customer Support, English, Operations, Management"
