Title,Company,Location,Type,Level,YearsExp,Country,Skills
Dutch Technical Support Representative,Sykes Enterprises,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Technical Support, Customer Service, Customer Care, Customer Support, Communication Skills, Telecommunication, Dutch, Computer Science"
Maintenance Engineer - Xerox,Almotaheda,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Mechanical Engineering, Electrical Engineering, Maintenance, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Senior Telesales Executive,The Modern Vision Of Advertising,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Customer Service, Sales Skills, Marketing, Microsoft Office, Communication Skills, Telesales, Corporate Sales, Customer Care, CRM"
React Native Mobile Developer,GCSSD,Heliopolis,Freelance / Project,Experienced,4+ Yrs of Exp,Cairo,"Mobile Development, React Native, iOS, Expo, AWS, javaScript, Node.js, Express.js, Android, GitHub, REST"
Senior Full Stack Developer,PanExcel,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, javaScript, Full Stack, Back End, Front End, Database Administration"
Restaurant Menu Extraction Officer - Bilingual...,Invisible Technologies,Cairo,Full Time,Work From Home,1-6 Yrs of Exp,Egypt,"81 Vacancies, French, English, Engineering, Customer Service, Customer Care, Customer Support, Data Entry, Administration"
Courier,DHL Express Egypt,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Males Only, Courier, Logistics, Supply Chain, Operations, Delivery, Production, Support, Logistics/Supply Chain"
Junior Property Consultant,Triumph Estate Group,Heliopolis,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Customer Service, Microsoft Office, English, Communication Skills, Brokerage, Sales Target, Real Estate, Sales/Retail"
Senior Trade Finance Officer,Confidential,Nasr City,Full Time,Manager,10+ Yrs of Exp,Cairo,"Accounting, Stock Market, Microsoft Office, Financial Analysis, English, CMA, Computer Skills, Poultry, Feed Manufacturing, Commodity"
Internal Audit Manager - Alexandria,Confidential,Bab Sharq,Full Time,Manager,9-12 Yrs of Exp,Alexandria,"Shipping, Accounting, Finance, Financial Management, Financial Analysis, Commerce, Auditing, Communication Skills, Accounting/Finance"
Supply Chain Engineer,Biobusiness,Haram,Full Time,Experienced,4-5 Yrs of Exp,Giza,"Purchasing, Supply Chain, ERP, Communication Skills, English, Electrical Engineering, Logistics, Logistics/Supply Chain"
Sales Representative,HighTech Trading,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Communication Skills, Sales Target, Customer Service, English, Presentation Skills, Negotiation, Sales/Retail"
Sales Manager,Confidential,6th of October,Full Time,Manager,5-7 Yrs of Exp,Giza,"Sales Target, Sales Management, Customer Service, Customer Support, Business Administration, Real Estate, English, Communication"
Pre-Approvals Specialist (CSH),Cleopatra Hospitals Group,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Customer Service, Medical, Healthcare, Operations, Customer Service/Support, Operations/Management, Medical/Healthcare"
Senior Full Stack Developer (Node & React),Confidential,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Computer Science, Front End, Software Development, Software Engineering, Reactjs, Programming, UI, UX, iOS, Android"
Office Administration Supervisor,Parkville Pharmaceuticals,Mohandessin,Full Time,Manager,6-8 Yrs of Exp,Giza,"Office Management, Business Administration, Administration"
CRM Officer,Gila Electric,Downtown,Full Time,Experienced,2+ Yrs of Exp,Cairo,"CRM, Call Center, Customer Service, Customer Care, Customer Support, Communication Skills, Analysis, Presentation Skills, Odoo"
Sales Advisor (Telesales)-Fluent English only,3D Diagnostix,Maadi,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, English, Telesales, Customer Care, Customer Service/Support, Sales/Retail"
Corporate Lawyer,Rotografia,Sheikh Zayed,Full Time,Experienced,2+ Yrs of Exp,Giza,"Packaging, Legal, Corporate Law, Legal"
Personal Assistant,Confidential,New Cairo,Full Time,Experienced,7+ Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, Communication, Administration"
Sales Engineer,Smart EGAT,Haram,Full Time,Experienced,3-10 Yrs of Exp,Giza,"Sales Engineering, IOT, Mechatronics, Electrical Engineering, Telecom Engineering, Sales Skills, Sales/Retail"
Quality Assurance Specialist - Alexandria,Akhnaton for Trading & Distributing,Alexandria,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Quality Control, Quality Assurance, CMMI, External Audit, ISO-9001:2015, Internal Audit, QA, Pharmacy, TQM, Pharmaceutical"
