Title,Company,Location,Type,Level,YearsExp,Country,Skills
In-House Graphic Designer,Kabbany Construction Group,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Branding, Adobe Indesign, Marketing, Adobe After effects, Infographic Animations"
Android Team Leader,Integrated Technology Group,Cairo,Full Time,Manager,9-14 Yrs of Exp,Egypt,"Mobile Application, Information Technology (IT), Computer Science, Telecom Engineering, Software Development, IT/Software Development"
Finishing & Maintenance Engineer,First Group,Hadayek October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Maintenance, Civil Engineering, Customer Service, Engineering - Construction/Civil/Architecture, Installation/Maintenance/Repair"
Senior .Net Developer (Backend Developer),GET Group- Egypt,Heliopolis,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"C#, MVC, Software Development, Information Technology (IT), Angular.JS, Node.JS, Mongo DB, Software Engineering, Computer Science"
HR Manager,El Nahar for Medical Solutions,Dokki,Full Time,Manager,5+ Yrs of Exp,Giza,"Labor Law, Human Resources (HR), Training, HR Systems, Organizational Development, Employee Relations, Employee Engagement, Customer Focus"
Real Estate Sales Specialist,Concrete For Real Estate,6th of October,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Sales Skills, Sales Target, Communication Skills, English, Advertising, Insurance, Media, Real Estate, Sales/Retail"
"Full Stack Developer (Node JS, React JS, Angular)",Alef Software Company,San Stefano,Full Time,Experienced,3-4 Yrs of Exp,Alexandria,"Software Development, Node.js, Design, CSS, HTML, javaScript, Git, UI, Information Technology (IT), React.js, Angular"
Inventory Control Specialist - Shared Services,Confidential,New Cairo,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Logistics, Supply Chain, Inventory Management, Business Administration, Finance, Accounting, Microsoft Office, Inventory Control"
Quality Engineer,Mass Food Group / Kellogg's Company,6th of October,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Quality Assurance, Quality Control, HACCP, Agriculture, Skills, Risk Assessment, GMP, Agricultural Engineering, CAPA, Science"
Junior Java Spring Developer,Digital Force,New Nozha,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Software Development, Computer Science, Information Technology (IT), Java, Spring, Design, IT/Software Development"
Sales Engineer,3Brothers,Heliopolis,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Electrical Power Engineering, Microsoft Office, Electrical Engineering, Sales Target, Communication Skills, MS Office"
IT Help Desk,Keys Group Services,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Computer Hardware, Windows Server 2008, Networking, Helpdesk, Computer Skills, Installation, Maintenance, Networks"
Senior Wordpress Developer,TopLine,Cairo,Full Time,Part Time,3+ Yrs of Exp,Egypt,"3+ Yrs of Exp, 3 Vacancies, PHP developper, WordPress, javaScript, MySQL, HTML, Programming, Information Technology (IT), Back End"
IT Field Support Coordinator - Intern,Azadea Group,Cairo,Internship,Entry Level,0-1 Yrs of Exp,Egypt,"Telecommunication, Maintenance, Computer Science, Customer Support, English, Technical Support, Help Desk"
ERP Sales Account Manager - KSA Residents only,Peerless,Riyadh,Full Time,Experienced,2-4 Yrs of Exp,Saudi Arabia,"Males Preferred, Information Technology (IT), Software Sales, English, Odoo ERP, Sales Skills, Business Administration, Sales Target"
Software Project Coordinator,Dynamicslink,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Business Administration, Information Technology (IT), Software Project Management, IT/Software Development, Project/Program Management"
IT System Analyst,ECS - Energy & Contracting Solutions,Maadi,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Linux, IT, System Analysis, Computer Science, CCNA, MCITP, ITIL, Wi-fi access, LAN, WAN, NAS, SAN, CCTV"
Office Manager/Accountant,Apexos Group,Sheraton,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Finance, Financial Management, Financial Analysis, Excel, HR, Administration, F&B, Accounting/Finance, Administration"
Air Conditioning Engineer,B.Tech,Abbassia,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Air Conditioning, DX, HVAC, Engineering - Mechanical/Electrical"
Medical Sales Representative,Sky Medical for Medical Devices,Giza,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Science, Pharmacy, Sales Skills, R&D/Science, Sales/Retail, Pharmaceutical"
Sales Manager,Sphinx for Electric Spare Parts,Azbakia,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales Skills, Outdoor Sales, Sales Target, English, Customer Service, Customer Service/Support, Operations/Management, Sales/Retail"
English Teacher - New Cairo,Sparks preschool,New Cairo,Full Time,Entry Level,2+ Yrs of Exp,Cairo,"English, Teaching, Education, Co-teacher, Education/Teaching"
Beauty Advisor - Gulf Area,Confidential,Victoria,Part Time,Freelance / Project,0-1 Yrs of Exp,Alexandria,"0-1 Yrs of Exp, 10 Vacancies, Pharmacy, Science, Beauty, Cosmetics, Gulf Area, R&D/Science, Customer Service/Support"
Accountant (FMCG),Confidential,Nasr City,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Commerce, Cost Accounting, General Accounting, FMCG, Food & Beverage, Financial Analysis, English, Accounting/Finance"
UX/UI Design Lead,TurnDigital,Maadi,Full Time,Experienced,7+ Yrs of Exp,Cairo,"UI, Computer Science, Adobe XD, Illustrator, Photoshop, Wireframes, Information Technology (IT), Axure, Zepline, UI/UX Design, Android"
UI/UX Designs Engineer,NAOS Marketing,Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"UI, UX, HTML, Design, CSS, javaScript, Information Technology (IT), Web Development, Computer Science, React, Backbone.js"
Production Engineer,Confidential,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Leadership, Mechanical Engineering, Manufacturing, Quality, Safety, Manufacturing/Production, Engineering - Mechanical/Electrical"
