Title,Company,Location,Type,Level,YearsExp,Country,Skills
Senior MS Dynamics AX Technical Consultant,SAED,Nasr City,Full Time,Experienced,8-15 Yrs of Exp,Cairo,"Microsoft Dynamics, AX, Computer Science, Information Technology (IT), ERP, MS SQL, IT/Software Development"
Financial Manager,"General Star Business Development Co.,(Egypt)",New Cairo,Full Time,Manager,5-10 Yrs of Exp,Cairo,"Audit, Finance, Financial Analysis, Financial Management, Budgeting, Costing, Financial Planning, Accounting/Finance"
International Business Development Executive,Arabic Localizer,Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Business Development, Market Research, Sales Skills, Marketing, OffShore, International Sales, English, Sales Target"
Warehouse Manager - Mit Ghamr (Pharmacist),Ibn Sina Pharma,Mit Ghamr,Full Time,Manager,0-2 Yrs of Exp,Dakahlia,"Warehouse Manager, Pharmacy, Pharmaceutical Sciences, Logistics, Supply Chain, Lean Warehouse, Six Sigma, Management, Administration"
Senior Property Consultant,Triumph Estate Group,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Brokerage, Real Estate, Communication Skills, Microsoft Office, English, Customer Service/Support"
Material Planner,Confidential,Obour City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Supply Chain, Materiel Planning, Commerce, Food, Production, English, Logistics/Supply Chain, Purchasing/Procurement"
English Instructors - Dokki Branch,SYE English Community,Dokki,Full Time,Part Time,1+ Yrs of Exp,Giza,"1+ Yrs of Exp, 5 Vacancies, Education, English Teaching, Professional Teaching Certificate, Communication Skills, Instructing"
Plant Manager,Confidential,Giza,Full Time,Manager,3+ Yrs of Exp,Egypt,"Production, Manufacturing, Management, English, Operations/Management, Manufacturing/Production, Engineering - Other"
Call Center Agent - Fluent English Speaker,AMICO Group,Dokki,Full Time,Experienced,5+ Yrs of Exp,Giza,"Customer Service, Call Center, Customer Support, Customer Care, English, Inbound Calls, Customer Service/Support"
Executive Secretary,Confidential,Mohandessin,Full Time,Experienced,5-10 Yrs of Exp,Giza,"Contracting, Executive, Administration, Office Manager, Office Management, Secretary, Microsoft Office, English, Administration"
Secretary,EHG Group,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Secretary, Administration, Office Management, English, Administration"
Medical Representative - Dakahlia,salam center,Mansoura,Full Time,Part Time,2+ Yrs of Exp,Dakahlia,"Sales Target, Veterinary, Sales Skills, Pharmacy, Medical Sales, Science, Ortho, Neuro, Medical/Healthcare, Sales/Retail"
Math Teacher,Mishkat Nour,Port Said,Part Time,Experienced,3-7 Yrs of Exp,Egypt,"Education, Teaching, International School, English, Teacher, Mathematics, Education/Teaching"
Warehouse Manager (6th Of October),Cellopack for Packaging Industries,6th of October,Full Time,Manager,7+ Yrs of Exp,Giza,"Warehousing, Logistics, Supply Chain, ERP, Computer Skills, Microsoft Office, Microsoft Excel, English, Commerce, Accounting"
PSS Consultant & Trainer - Access to Justice...,Terre des hommes,Downtown,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Psychology, Social Work, Medical, Medical/Healthcare"
Export Sales Specialist,Frosty Foods,Azarita,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,"Sales Skills, Frozen, English, Management, Logistics, Sales Target, Food, Export Sales, Logistics/Supply Chain, Sales/Retail"
Senior Android Developer,ITS,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"JSON, Information Technology (IT), Computer Science, Gradle, Mobile Development, Software Development, Android SDK, Web Services"
Research & Development Manager,Confidential,Cairo,Full Time,Manager,15+ Yrs of Exp,Egypt,"Market Research, Development, Management, Pharmacy, Operations/Management, Analyst/Research, Pharmaceutical"
Graphic Designer - Portsaid,Mishkat Nour,Port Said,Full Time,Experienced,4-7 Yrs of Exp,Egypt,"Graphic Design, Adobe Photoshop, Adobe Illustrator, Fine Arts, Communication Skills, Creative/Design/Art"
Content Writer/Marketer,TensorGraph,Maadi,Full Time,Experienced,6+ Yrs of Exp,Cairo,"Creating Content, Social Media, Marketing, Content Management, Writing/Editorial, Marketing/PR/Advertising"
Senior Social Media Specialist,Confidential,Dokki,Full Time,Experienced,2-4 Yrs of Exp,Giza,"SEO, E-marketing, Online Marketing, Communication, Web Design, Editing, English, Writing, Marketing/PR/Advertising"
Sales Accountant - Qalubia,EGIC,Qalubia,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Finance, Sales Accounting, Commerce, Budget, Reporting, Accounting/Finance"
UI/ UX Developer,Add Pluses,6th of October,Full Time,Freelance / Project,1-2 Yrs of Exp,Giza,"Males Only, HTML5, CSS3, Web Development, Web Design, Software Development, javaScript, UI, UX, Adobe Photoshop, jQuery"
Inventory Accountant (Stock Controller),Confidential,Giza,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Medical, Inventory, Stock Control, Finance, Commerce, English, Accounting/Finance"
Executive Secretary,Egyptian Banks Company,New Cairo,Full Time,Experienced,6-15 Yrs of Exp,Cairo,"Office Management, Secretary, Administration, Microsoft Office, Administration"
Junior Software Engineer .Net,Path-Solutions,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"C#, ASP.NET, MVC, MySQL, Oracle, Information Technology (IT), Computer Science, Software Development, Software Engineering, Telecom"
