Title,Company,Location,Type,Level,YearsExp,Country,Skills
Devops Engineer,"Izam, inc.",Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Jenkins, CI/CD, Docker, Nginx, Information Technology (IT), MySQL, Git, Apache, IT/Software Development"
Receptionist - ( Beni Suef ),OPPO Egypt,Beni Suef,Full Time,Entry Level,1-5 Yrs of Exp,Egypt,"Customer Service, Administration, Microsoft Office, Office Management, Secretary, Communication Skills, Customer Care, Customer Support"
Customer Service Agent Vodafone UK - Giza,Majorel Egypt,6th of October,Full Time,Entry Level,0-1 Yrs of Exp,Giza,"Customer Service, Customer Support, English, Customer Care, Call Center, Communication, MS Office, Customer Service/Support"
Project Engineer- Hurghada,Somabay,Hurghada,Full Time,Experienced,4-6 Yrs of Exp,Red Sea,"Architectural Engineering, Residential Projects, AutoCAD, Project Management, Primavera, Engineering - Construction/Civil/Architecture"
Quality Assurance Engineer,Greater Cairo Foundries Co. S.A.E,Belbes,Full Time,Experienced,2-3 Yrs of Exp,Sharqia,"Quality Control, Engineering, QA, Testing, Computer Science, Agile, Scrum, SQL, ISO, IT/Software Development, Quality"
Medical Sales Representative,SMART 3DP,Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Medical Sales Representative, Dental, Sales Skills, Medical/Healthcare, Sales/Retail, Pharmaceutical"
Indirect Sales Specialist - Real Estate,Oscar Developments,New Cairo,Full Time,Entry Level,1-7 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Customer Care, Communication Skills, English, Business Development"
Senior Integration .NET Developer,Rasan,Nasr City,Full Time,Experienced,8-10 Yrs of Exp,Cairo,"Computer Science, Software Development, .NET, C#, MVC, Agile, TFS, WCF, Web API, Integration, MS-SQL"
Accountant,ATA Electronics,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Accounting, Finance, Financial Management, Financial Analysis, Microsoft Excel, Microsoft Office, Financial Reporting, Accounting/Finance"
Civil Technical Office Engineer (On Site),Delta for housing and construction,10th of Ramadan City,Full Time,Experienced,5-7 Yrs of Exp,Sharqia,"Males Only, Civil Engineering, AutoCAD, Project Management, Technical Office, Shop Drawing, Microsoft Office, Primavera"
Marketing Deputy Manager - Cairo,KnowledgeNet,Nasr City,Full Time,Manager,8-12 Yrs of Exp,Cairo,"Communication Skills, Marketing Campaigns, Project Management, Marketing Management, Operations/Management, Marketing/PR/Advertising"
Site Manager,Asass,Maadi,Full Time,Experienced,7-9 Yrs of Exp,Cairo,"Architecture, marble, granite, Construction, Civil Engineering, Residential, Commercial Projects, Skills"
Tax Manager,Cequens,Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Finance, Financial Management, Tax, CPA, IFRS, Audit, Accounting/Finance"
Class Teacher,Hello Mommy Nursery & Preschool,Nasr City,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Education, Teaching, Class Control, Education/Teaching"
Interior Design Manager,Aggarly,Mohandessin,Full Time,Work From Home,5-8 Yrs of Exp,Giza,"Males Only, Interior Design, AutoCAD, 3D Max, SketchUp, Architecture, Revit, 3D, Engineering - Construction/Civil/Architecture"
PHP Web Developer,Odiggo,Maadi,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Information Technology (IT), Web Development, Computer Science, MySQL, OOP, JSON, Software Engineering, Data Structures, PHP5+"
Accounts Receivable Accountant,Somabay,Zamalek,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Accounting, Commerce, Finance, Business Administration, Accounts Receivable, Financial Analysis, ERP, Accounting/Finance"
Senior HR Specialist,Confidential,Cairo,Full Time,Experienced,5-8 Yrs of Exp,Egypt,"Human Resources (HR), HR, HR Diploma, Recruitment, Communication Skills, Human Resources"
Vendor Management Team Leader,Confidential,Heliopolis,Full Time,Work From Home,2-5 Yrs of Exp,Cairo,"2 Vacancies, Human Resources, Translation, Localization, Recruitment, Administration, Vendor Management, English, Writing"
Senior Technical Office Engineer - Alexandria,GranTech Group,Alexandria,Full Time,Experienced,6-10 Yrs of Exp,Egypt,"Shop Drawings, AutoCAD, Project Management, Construction, Tendering, Technical Office, Primavera, Quantity Surveying, English"
Product Specialist (Pharmaceutical Field) -...,Elegant Care Group,Ismailia,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"VET, Sales Skills, Indoor Sales, Outdoor Sales, Medicine, Product, Pharmaceutical, Medical/Healthcare, Sales/Retail, Pharmaceutical"
