Title,Company,Location,Type,Level,YearsExp,Country,Skills
Software Quality Control Engineer,Pefect Presentation,Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Software Testing, Agile, ISTQB, Computer Science, Information Technology (IT), Scrum, E-commerce, Web Testing, SQL, Quality"
Landscape Engineer - Marsa Matruh,Confidential,Marsa Matruh,Full Time,Experienced,5+ Yrs of Exp,Matruh,"Irrigation, Landscape Designing, Microsoft Office, Site Engineering, English, Maintenance, Agriculture, Creative/Design/Art"
Oracle Database Administrator,Confidential,Nasr City,Freelance / Project,Experienced,3+ Yrs of Exp,Cairo,"Configure, Linux, Information Technology (IT), ASM, Computer Science, Engineering, Database, Troubleshooting"
Warehouse Manager,Confidential,Heliopolis,Full Time,Manager,8-10 Yrs of Exp,Cairo,"Warehousing, ERP, Microsoft Office, Logistics, Supply Chain, Construction, Logistics/Supply Chain"
HR Director,Confidential,6th of October,Full Time,Senior Management,10-20 Yrs of Exp,Giza,"Recruitment, Labor Law, HR, Microsoft Office, Business Administration, Leadership, HRIS, SHRM-CP, Management"
Senior Accountant,Engosoft,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Accounting, Finance, Financial Analysis, Financial Management, Excel, Power Point, English, Accounting/Finance"
Medical Family Planning Technical Training...,John Snow InC,Aswan,Freelance / Project,Senior Management,15-20 Yrs of Exp,Egypt,"Medical, Training, Family Palnning, Contraceptives, MoHP, Medical/Healthcare, Training/Instructor"
Property Consultant,Manjam,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Communication Skills, Negotiation Skills, Customer Care, Customer Service, Customer Support, Sales/Retail"
Senior Python Developer,Crevisoft Corporation,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Telecommunication, Computer Science, Software Development, Software Engineering, Python, HTML, javaScript, Linux"
Digital Marketing Specialist,Egyptian Packaging and Plastic Systems Corp,Manial,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"E-marketing, Social Media, SEO, Google Analytics, PPC, Creative, WordPress, Digital Media, Content Creation"
Business Development Specialist,Confidential,6th of October,Part Time,Freelance / Project,0-2 Yrs of Exp,Giza,"Females Preferred, Business Development, Training, Digital Marketing, Sales Skills, Sales Target, Microsoft Office, Education"
Corporate Sales Account Manager - Medical,Dar Al-Fouad Hospital,6th of October,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Sales Skills, Customer Service, Customer Support, Medicine, Pharmaceutical, Medical Sales Representative, Account Management, English"
Accountant,Arab Bridge,New Cairo,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Construction, Microsoft Office, Financial Analysis, Finance, Accounting/Finance"
Co-Teacher For Nursery,Diamond Nursery,Maadi,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Education, Teaching, Co-Teacher, Nursery, Education/Teaching"
Chief Accountant,Egyptian Canning - BEST,Aga,Full Time,Manager,7-15 Yrs of Exp,Dakahlia,"Accounting, Financial Analysis, Microsoft Office, QuickBooks, Finance, Financial Management, Tax, Accounting/Finance"
HR & Admin Associate,Garment IO,Sheikh Zayed,Full Time,Experienced,2+ Yrs of Exp,Giza,"Recruitment, HR, Human Resources (HR), Business Administration, Filtration, Talent Marketing, Selection, Hiring, Interviewing"
Sales Account Executive,UD Crops,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"B2B, Sales Skills, Customer Service, Sales Target, Account Executive, Account Manager, Customer Service/Support, Sales/Retail"
Digital Marketing Manager,iVein Clinic,Alexandria,Full Time,Manager,3-15 Yrs of Exp,Egypt,"Advertising, Performance Marketing, Campaigns, Google Adwords, Google Analytics, SEO, Online Marketing, SEM, FB/IG Ads"
HR Recruitment Admin,Raya Contact Center,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Human Resources (HR), Interviewing, Communication, Administration, English, Human Resources"
Sales Executive - Trucking Industry,Confidential,Giza,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Logistics, Lead Generation, Transportation, Trucks, B2B, Sales Skills, Sales Target, Business Development, Logistics/Supply Chain"
Customer Service Representative,Glamera,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Females Only, Customer Service, Social Media, Presentation Skills, Communication Skills, CRM, Customer Support, Customer Care, Sales"
Back Office Agent,MTS,Suez,Full Time,Entry Level,0-2 Yrs of Exp,Suez,"Customer Support, Customer Care, Customer Service, English, Administration, Administration, Customer Service/Support"
General Accountant,Keys Group Services,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Accounting, Finance, Taxing, GL, English, Commerce, GL Accountant, Financial Analysis, Financial Management, WHT, VAT"
Executive Assistant,Virtual Worker Now,Cairo,Full Time,Work From Home,3-5 Yrs of Exp,Egypt,"3 Vacancies, Administration, Office Management, Executive Assistant, Personal Assistant, Microsoft Office, Secretary, English"
