Title,Company,Location,Type,Level,YearsExp,Country,Skills
Administrator Assistant,ABS,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, Administration"
Graphic Designer,Royal Future Light for Publishing,Faisal,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Adobe Photoshop, Adobe Illustrator, InDesign, Communication, Design Software, Technologies, Creative/Design/Art"
Sales Account Manager - Software,Code Farm Egypt software & technology Ltd.,Heliopolis,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Leads, Sales Skills, English, Customer Service, Sales Target, Account Management, Computer Skills, Microsoft Office, Lead Generation"
Sales Promoter - 6th of October City,Stylish Eve,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Sales Skills, Sales Target, Indoor Sales, Customer Support, English, Customer Service/Support, Sales/Retail"
Business Manager,Fawry Microfinance,Cairo,Full Time,Manager,6+ Yrs of Exp,Egypt,"Microsoft Word, Microsoft PowerPoint, Microsoft Excel, Microsoft Office, Computer Skills, Banking, Business Analysis, Risk Management"
Senior Project Manager,Interact Technology Solutions,Maadi,Full Time,Manager,10+ Yrs of Exp,Cairo,"PMP, IT, Business, Communication, Project Management, Information Technology (IT), Computer Science, Software, Agile, PMO"
Chief Financial Officer,Confidential,Maadi,Full Time,Senior Management,8+ Yrs of Exp,Cairo,"Accounting, Financial Management, Financial Control, Commerce, CA, ACCA, CIMA, ERP, Financial Analysis, Business Administration"
Accounts Receivable Accountant,UD Crops,Heliopolis,Full Time,Experienced,1-4 Yrs of Exp,Cairo,"Accounts Receivable, Finance, Financial Analysis, Microsoft Office, Accounting/Finance"
Senior Recruitment Specialist,Ben Soliman,Giza,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Human Resources (HR), Recruitment, Retail Fashion, Microsoft Office, Human Resources"
Motion Graphic & 2D Designer,Awdia Technology,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Motion Graphics, Adobe Suite, Premiere, Cinema 4D, Adobe Animate, Adobe After Effect"
Medical Sales Representative,Consulto,New Cairo,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"Sales Target, Medical Sales, HealthCare, English, Medical/Healthcare, Sales/Retail"
iOS Developer,Tocaan,Cairo,Full Time,Work From Home,4+ Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, Software Development, Mobile Development, Swift, Git, RESTful APIs, Design, MVVM"
Fashion Designer,Egyptian Company for Trading Industry and International Agents,Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,"Fashion, Design, Audaces, Patterns, Creative/Design/Art, Fashion"
HR Section Head,Confidential,Cairo,Full Time,Manager,3-7 Yrs of Exp,Egypt,"Human Resources (HR), HR, Corporate Strategy, Recruitment, Personnel, Planning, HR Certificate, Performance Appraisal, Human Resources"
Marketing Intern,Magdsoft,Nasr City,Internship,Student,0-1 Yrs of Exp,Cairo,"Upwork, Market Research, Business Development, Sales, Target Identification, Guru, Elance, PPH, Digital Marketing, MS Office"
Site Engineer,MFCM - Mohamed El Fiky for Construction & Management,Shebin Alkom,Full Time,Part Time,3-7 Yrs of Exp,Monufya,"Project Management, Civil Engineering, Risk Management, Revit, Analysis, Construction Engineering, English, Arabic"
Receptionist,Confidential,Mohandessin,Full Time,Experienced,2+ Yrs of Exp,Giza,"Office Management, Microsoft Office, Administration"
Financial Manager,Confidential,Badr City,Full Time,Manager,10+ Yrs of Exp,Cairo,"Financial Management, Accounting, Tax, Planning, Budgeting, Financial Analysis, Accounting/Finance, Operations/Management"
Accounts Receivable Accountant,QuadraTech for Information Technology,Katameya,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Accounting, Microsoft Office, Finance, Accounts Receivable, Financial Analysis, Microsoft Excel, Reporting, Computer Skills, English"
Sales Representative - New Cairo,Antarmode,New Cairo,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Females Only, Sales Skills, Sales Target, Fashion, English, Presentation Skills, Sales/Retail, Fashion"
English Teacher / Primary Stages,Modern American School of Egypt 2000,New Cairo,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"English Teacher, Upper Primary, Education, Teaching, Communication Skills, Education/Teaching"
