Title,Company,Location,Type,Level,YearsExp,Country,Skills
Secretary & Business Coordinator,Al Safa,Nasr City,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"Office Management, Administration, Microsoft Office, Administration"
Telesales Agent,Unlimited Technology,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Females Only, Sales Skills, Telesales, English, Customer Service/Support, Sales/Retail"
Technical Team leader,API,Nasr City,Full Time,Part Time,5-20 Yrs of Exp,Cairo,"SQL, ASP.NET, TFS, Git, Software Development, Engineering, Information Technology (IT), Computer Science, IT/Software Development"
Front End Developer,Crevisoft Corporation,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Information Technology (IT), Telecommunication, Front End, javaScript, ES6, React, Angular, NPM, Node.JS, Redux, Vues"
Technical Office Engineer,El Nasr Group,Heliopolis,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"AutoCAD, Technical Office, Microsoft Office, SketchUp, Civil Engineer, Architecture, Quantity Surveying"
Financial Internal Auditor,AIC - Al Maalim International Co.,New Cairo,Full Time,Experienced,7-10 Yrs of Exp,Cairo,"Finance, Internal Auditing, Financial Auditing, Accounting/Finance"
B2B Software Sales Representative,Glamera,Nasr City,Full Time,Experienced,2-6 Yrs of Exp,Cairo,"Males Preferred, Sales Skills, B2B Sales, Communication Skills, CRM, Sales Target, English, ERP, IT Sales, Software Sales"
English Teacher - Preparatory Stage,Manhattan Schools,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"English Teaching, Education/Teaching"
DevOps Engineer,Orange Lab,Giza,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Agile, Software Development, Information Technology (IT), Engineering, Computer Science, CI/CD, Software Automation, Operations"
Data Entry Specialist,Yodawy,Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Startup, Data Entry, Data Management, Administration, Retail, Pharmaceutical, Microsoft Office, Online Searching, Typing, English"
Project-Based English Instructor,Berlitz Egypt,Cairo,Part Time,Freelance / Project,0-2 Yrs of Exp,Egypt,"5 Vacancies, Education, Teaching, Instructor, English, Education/Teaching, Training/Instructor"
Software Presales Engineer,Interact Technology Solutions,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Sales Skills, SRM, Data Center, Installation, Maintenance, Sales Engineering, Repair, Presales, Microsoft Office"
Safety Officer - Supervisor,SE Wiring Systems EGYPT,6th of October,Full Time,Manager,3-5 Yrs of Exp,Giza,"Health and Safety, OHS, Microsoft Office, Quality, Engineering, MS Office, Administration, Medical/Healthcare, Quality"
Procurement Specialist,GlassRock Insulation Co.,Alsadat City,Full Time,Entry Level,1-2 Yrs of Exp,Monufya,"Purchasing, Supply Chain, ERP, Engineering, Logistics, Purchasing/Procurement"
Senior Projects Sales Engineer,GLC,Obour City,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Engineering, Sales Skills, Construction, Project Management, English, Engineering - Construction/Civil/Architecture, Sales/Retail"
Chairman Assistant - New Cairo,STARLIGHT DEVELOPMENTS,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, English, Communication Skills, Word, Excel, Personal Assistant, Administration"
Stock Controller,Milkys,Beheira,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Logistics, Supply Chain, Warehousing, MS Office, Accounting/Finance, Logistics/Supply Chain"
Digital Marketing Specialist,iproperties,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Digital Marketing, Data Entry, Social Media, Marketing Campaigns, Typing, English, E-marketing, Excel, Marketing/PR/Advertising"
Telesales Representative,Teleperformance - Egypt,New Cairo,Full Time,Entry Level,null Yrs of Exp,Cairo,"Customer Service, Sales Skills, Telesales, Customer Service/Support, Sales/Retail"
Illustrator,Confidential,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Adobe Illustrator, Graphic Design, InDesign, Visual Arts, Editing, CAD, Creative/Design/Art, Media/Journalism/Publishing"
