Title,Company,Location,Type,Level,YearsExp,Country,Skills
Sales Representative,ABS,New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Customer Service, Customer Service/Support, Sales/Retail"
Associate Systems Engineer,Sumerge,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"DevOps, Gitlab, Jenkins, Docker, Kubernetes, DHCP, DNS, SSL, TCP, UDP, Information Technology (IT), Microsoft Server, Tomcat"
Corporate Sales Agent,Aqarmap.com,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Advertising, Marketing, Sales Skills, Insurance, Sales Target, Outdoor Sales, Telesales, Property"
Social Media Specialist,The Modern Vision Of Advertising,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"E-marketing, Facebook, SEO, Communication Skills, Twitter, Instagram, Marketing/PR/Advertising, Media/Journalism/Publishing"
Factory HR Manager,Summer Moon Co.,Bourj Alarab,Full Time,Manager,10+ Yrs of Exp,Alexandria,"Recruitment, Factory, Blue Collars, FMCG, F&B, Food Industry, Administration, Human Resources"
Senior Site Electrical Engineer (Light Current...,Confidential,New Capital,Full Time,Experienced,6-12 Yrs of Exp,Cairo,"Communications, Electronics, Low Current Systems, Tendering, Cost Estimation, CCTV, Access Control, Electrical Engineering, AutoCAD"
Presentation & Graphic Designer,MigrationIT.com,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Adobe Illustrator, Adobe Photoshop, Adobe Creative Cloud, Video Editing, Prezi, Acrobat Pro, Creative/Design/Art"
Security & Governmental Relation Manager ( Police...,Andalusia Group,Alexandria,Full Time,Manager,10-10 Yrs of Exp,Egypt,"Police Academy, Legal, Security Protocols, Egyptian Military Academy, Administration, Legal, Operations/Management"
Doctors - Makkah,Elite,Makkah,Full Time,Experienced,3+ Yrs of Exp,Saudi Arabia,"Medical, Healthcare, Emergency, OB GYN, Radiology, ENT, Medical/Healthcare"
Material Planning Engineer,Simplex,Marg,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Logistics, Production, Supply Chain, Material Planning, Inventory Management, Raw Materials, Manufacturing/Production"
Institutional Development Consultant,Misr Elkheir Foundation,Cairo,Freelance / Project,Experienced,8-10 Yrs of Exp,Egypt,"OD, organization Assessment, NGO strategy, Training, Project/Program Management, Education/Teaching, Training/Instructor"
Medical Billing Specialist,Sidra,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Accounting, Insurance, Medical, English, MS, Hospital, American Billing System, AR, Accounting/Finance, Medical/Healthcare"
Key Retail Supervisor,Evoreen,Maadi,Full Time,Manager,4+ Yrs of Exp,Cairo,"Key Account, FMCG, Sales Skills, Sales/Retail"
Property Consultant / Real Estate Agent,Capital,New Cairo,Full Time,Entry Level,1-6 Yrs of Exp,Cairo,"Sales Skills, Negotiation, Broker, Real Estate Agent, Customer Service/Support, Sales/Retail"
PHP (Laravel) Developer,apps square,Tanta,Full Time,Entry Level,1+ Yrs of Exp,Gharbia,"Laravel, Information Technology (IT), Computer Science, javaScript, MySQL, HTML5, Git, CSS3, Front-End, Telecom Engineering"
IPG Technical Support Specialist,Interact Technology Solutions,Maadi,Full Time,Entry Level,0-5 Yrs of Exp,Cairo,"Installation, Information Technology (IT), Troubleshooting, Computer Science, English, Computer Engineering, Notebooks Hardware"
Digital Marketing & Content Manager,Matwaffar,Maadi,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"digital marketing, design, Social Media Marketing, Creation, Editing, Planning, Graphics, Operations/Management, Marketing/PR/Advertising"
Female Sales Executive,Broadnet,New Cairo,Full Time,Work From Home,2+ Yrs of Exp,Cairo,"Females Only, Microsoft Office, Sales Skills, Customer Service, Customer Support, Marketing, Advertising, Business Administration"
Purchasing Executive,Arma,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Logistics, Commerce, Business Administration, English, Raw Material, SAP, Local Purchasing, Logistics/Supply Chain"
Senior Front End Developer - React,Trufla,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Information Technology (IT), Software Development, JavaScript, Ember.JS, React.JS, SQL, HTML, CSS, Ruby On Rails, SaaS"
Sales Director,Quattro Business,Nasr City,Full Time,Senior Management,10+ Yrs of Exp,Cairo,"Management, Sales Skills, Real Estate, Sales Target, English, Sales/Retail"
Sales Representative,Al-Khail Industries & Trading,Azbakia,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Customer Support, Sales Skills, Communication Skills, Customer Service, Sales Target, Customer Service/Support, Sales/Retail"
Senior Web Software Developer,MidEast Communication Systems,New Cairo,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Software Engineering, Software Development, Information Technology (IT), MVC, PHP, Nodejs, jQuery, HTML5, CSS3"
Executive Director - Business Association,Confidential,Maadi,Full Time,Senior Management,10+ Yrs of Exp,Cairo,"General Manager, NGO, Managing Director, Business Development, Public Relations, Operations, Management"
Software Quality Control (Tester),Confidential,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Information Technology (IT), MySQL, Quality Control, Computer Science, Agile, Engineering, javaScript, HTML5, CSS3, jQuery"
