Title,Company,Location,Type,Level,YearsExp,Country,Skills
Real Estate Sales Specialist - Palm Hills,Beit Network For Real Estate,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Sales/Retail"
Nurse,Columbia Clinic,Giza,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Nursing, Medical, Healthcare, Medical/Healthcare"
Unity Developer,BEDO Company,6th of October,Full Time,Experienced,3-4 Yrs of Exp,Giza,"Computer Science, Unity, Software Development, Game Development, Computer Engineering, Communication Skills, Information Technology (IT)"
Project Manager,Tamweely,Shubra,Full Time,Manager,3-4 Yrs of Exp,Cairo,"PMP, Microsoft Project, Quality Assurance, MS Project, Agile Methodology, Project/Program Management"
Cost Accountant,MTBI-diagnostics,Badr City,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Industrial, Finance, Financial Analysis, English, Accounting/Finance"
District Manager Alexandria & Beheira.,Confidential,Alexandria,Full Time,Manager,2-4 Yrs of Exp,Egypt,"Pharmacy, Sales Target, Sales Management, Indoor Sales, Medical Sales, Vet, Medical/Healthcare, Sales/Retail, Pharmaceutical"
Videographer And Video Editor,World Business Fitness,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Adobe After Effects, Videography, Premiere Pro, Videographer, Digital Technology, Creative/Design/Art, Marketing/PR/Advertising"
Fashion Buyer - Denim,Confidential,Giza,Full Time,Experienced,5-7 Yrs of Exp,Egypt,"Merchandising, Design, Denim, Fashion, Purchasing/Procurement"
Software Project Coordinator,Confidential,Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Project Management, Software Engineering, English, Communication, Computer Science, Computer Engineering, Microsoft Office"
Sales Agent - Real Estate,Platinum Properties for real estate services,New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Communication Skills, Computer Skills, Administration, Sales Admin, Real Estate, Sales/Retail"
Property Consultant,Marseilia,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Real Estate, Sales Skills, Customer Service, Customer Care, Customer Support, Property, Sales target, Communication Skills, English"
General Manager - Railroad Constructions,Confidential,Cairo,Full Time,Senior Management,15-20 Yrs of Exp,Egypt,"Engineering Management, Operations, GM, General Management, Strategy, MBA, Transformation, Operations/Management"
Office Manager,Innovety,Sheikh Zayed,Full Time,Experienced,4+ Yrs of Exp,Giza,"Office Management, Administration, Financial Management, Operations, Interpersonal Skills, CEO Assistant, Administration"
Furniture Manufacturing Specialist,DIVANO,Maadi,Full Time,Manager,5+ Yrs of Exp,Cairo,"Applied Arts, Manufacturing, Furniture, AutoCAD, Production, Design, Creative/Design/Art, Manufacturing/Production"
NopCommerce Web Application Support Engineer,Crystal Mind,Nasr City,Full Time,Experienced,4-6 Yrs of Exp,Cairo,"Customer Support, Information Systems, E-Commerce, English, Application Support, Information Technology (IT), Computer Science"
Graphic Designer,ExaServe LLC,Nasr City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Graphic Design, Adobe Illustrator, Adobe Photoshop, InDesign, Creative/Design/Art"
Account Manager (indoor sales),Transmar International,New Cairo,Full Time,Work From Home,4-8 Yrs of Exp,Cairo,"Customer Service, Sales Target, Customer Service/Support, Sales/Retail"
Product Manager - Women's Healthcare,dkt Egypt,Nasr City,Full Time,Manager,2+ Yrs of Exp,Cairo,"Sales, Brand Management, Business Development, Business Planning, Healthcare, Product Management, Project Management, Sales/Retail"
Sr. Data Engineer (ODI),MigrationIT.com,Cairo,Full Time,Experienced,5-7 Yrs of Exp,Egypt,"ODI, Information Technology (IT), Software Development, Software Engineering, Java, Python, C++, UNIX, IT/Software Development"
Head Of Marketing,Notion International School,Giza,Full Time,Manager,7+ Yrs of Exp,Giza,"Google Drive, Microsoft Office, E-marketing, SEO, Advertising, Content Management, Content Marketing, Digital Marketing, Computer Skills"
Financial Transaction Consultant - CFA,Confidential,Riyadh,Full Time,Experienced,7+ Yrs of Exp,Saudi Arabia,"Accounting, Finance, CFA, CPA, Financial Modeling, Financial Analysis, Accounting/Finance, Analyst/Research"
