Title,Company,Location,Type,Level,YearsExp,Country,Skills
STEAM Instructor - Intern,BeSteam,Nasr City,Internship,Student,null Yrs of Exp,Cairo,"Education, Training, Teaching, Instructor, Engineering, Mechatronics, Computer Science, IT Information System, Training/Instructor"
Telesales Representative,Nanotech International For Solar Energy,Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Customer Service, Sales Skills, Telesales, Communication Skills, Customer Service/Support, Sales/Retail"
Senior iOS Mobile Developer,infasme.com,Heliopolis,Full Time,Experienced,5-6 Yrs of Exp,Cairo,"Information Technology (IT), Software Development, iOS, UI, React, Design, Angular, Leadership, Travel"
Foreign Procurement Specialist - Alexandria,Confidential,Bourj Alarab,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,"Purchasing, Logistics, Supply Chain, Computer Skills, English, Microsoft Office, Logistics/Supply Chain, Purchasing/Procurement"
Assistant Marketing Manager (Retail),Al Sharif Marketing Association,Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Marketing, Retail, English, Market Research, Microsoft Office, Social Media, Marketing/PR/Advertising, Media/Journalism/Publishing"
Bioinformatics Intern,Proteinea,Downtown,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Engineering, Science, Biotechnology, Bioinformatics, Computational Biology, Python, Perl, C, C++, R&D/Science"
Marketing Executive,ITPS,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Management, Market Research, Corporate Sales, Online Market, Marketing/PR/Advertising, Sales/Retail, Media/Journalism/Publishing"
Graphic Designer - Cairo,Leader,Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Graphic Design, Adobe Illustrator, Advertising Agency, InDesign, Corporate Identity, After Effect, Creative/Design/Art"
Business Development Specialist,DASA,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Business Development, Marketing, Customer Service, Business Intelligence, Growth, Partnership, Operations, Sales Skills, Sales Target"
Light Current Design Engineer,EGEC,Giza,Full Time,Experienced,5-10 Yrs of Exp,Egypt,"Electrical Engineering, Light Current, Revit, CCTV, Computer Engineering, Access Control, Intruder Alarm, Fire Alarm, Low Current"
Receptionist,Confidential,Obour City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, English, Microsoft Office, Administration, Communication Skills, Administration, Customer Service/Support"
Senior Business Development Specialist,Tawzef,Nasr City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Sales Skills, English, Communication Skills, Sales Target, Business Development"
Senior Site Engineer,Ryan,Cairo,Full Time,Manager,15+ Yrs of Exp,Egypt,"Civil Engineering, Construction, Mechanical, Electrical, Engineering - Construction/Civil/Architecture, Engineering - Mechanical/Electrical"
Receptionist,Mazaya,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Office Management, Microsoft Office, Front Office, Secretary, English, Administration"
Retail Sales Representative - Qalubia,EGIC,Qalubia,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Services, Customer Care, Retail, Collection, Distribution, Selling Skills, Negotiation Skills"
Ground Courier Supervisor,Maxab,Cairo,Full Time,Manager,2+ Yrs of Exp,Egypt,"Logistics, Supply Chain, Courier, Operations, Delivery, Logistics/Supply Chain, Operations/Management"
Account Manager ( Canal),Talabat,Suez,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Marketing Campaigns, Customer Service, Customer Care, Account Managment, Customer Relations, English"
Telecommunications Project Coordinator,TelSupport,6th of October,Full Time,Experienced,6-10 Yrs of Exp,Giza,"Males Only, Telecommunication, Project Management, Engineering, Project/Program Management, Engineering - Telecom/Technology"
Accountant - محاسب مالي,Confidential,Riyadh,Full Time,Experienced,10-12 Yrs of Exp,Saudi Arabia,"Accounting, ESAA, English, CMA, CPA, Accounting/Finance"
Senior Sales Representative - Real Estate,Agec,Sheraton,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Sales Target, Property Sales, Real Estate Sales, Property Management, Business Development, Sales/Retail"
