Title,Company,Location,Type,Level,YearsExp,Country,Skills
Junior Business Development Specialist (out door),E3mel Business for Financial & Managerial Consultancy,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, Sales Skills, B2B Sales, B2C Sales, Business Development, CRM, Marketing, Corporate Sales, Business Development"
Preschool English Teacher - New Cairo,Trillium Preschool,New Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Education, Teaching, Preschool, English, Education/Teaching"
Personal Assistant to Chairman - Alexandria,Paradise Inn Hotels & Resorts,Mahta Alraml,Full Time,Experienced,7+ Yrs of Exp,Alexandria,"Microsoft Office, Office Management, Admin Assistant, Business Administration, Accounting, ERP, Back Office, Hotel, MS Office"
Physics Research Assistant,Confidential,Cairo,Full Time,Part Time,0-1 Yrs of Exp,Egypt,"Males Preferred, Research, Quantum Mechanics, Quantum Information, Computational Physics, C++, Latex, Linux, Fortran, Python"
Real Estate Marketing Executive,B2C Real Estate,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Campaigns, Creative, English, Marketing, Marketing/PR/Advertising"
Senior Architectural Engineer (Technical Office),Confidential,Heliopolis,Full Time,Experienced,10-12 Yrs of Exp,Cairo,"AutoCAD, Technical Office, TO, Revit, QS, Photoshop, Architecture, IS, English, Shop Drawing"
Factory Manager,ataya,10th of Ramadan City,Full Time,Manager,15+ Yrs of Exp,Cairo,"Factory, ISO, Production Engineering, Cutting, Metal, CNC, Lath, Milling, Welding, Operations/Management, Manufacturing/Production"
Telesales Agent,Confidential,Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Sales Skills, Telesales, Communication Skills, Customer Service, Computer software, Customer Service/Support, Sales/Retail"
Senior Instructional Designer,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,3-7 Yrs of Exp,Giza,"ITI, English, Articulate, Creative/Design/Art"
Mall Security Manager,Confidential,New Cairo,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Security, Malls, Administration, Retail, Administration, Operations/Management"
Key Accounts Sales Engineer - Cairo,Quantum Automatic Systems,Heliopolis,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Negotiation Skills, Sales Target, Electrical Engineering, Computer Skills, English, Mechanical, Sales Engineering, Key Accounts Sales"
Leasing Relationship Management Executive (LRM),A.T Lease Egypt,Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"LRM, Leasing, Business Administration, Business Development, Credit, Economics, Commerce, Marketing, Market Research"
Architectural Engineer,Arab Bridge,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Civil Engineering, AutoCAD, Microsoft Office, English, 3D Max, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
Senior Account Manager,199X Digital,Maadi,Full Time,Manager,4-8 Yrs of Exp,Cairo,"Accounts, Arabic, English, Business Development, Operations/Management"
Sales Agent - Alex,Aqarmap.com,Alexandria,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Corporate Sales, Real Estate, Advertising, Marketing, Sales Skills, Insurance, Sales Target, Outdoor Sales, Telesales, Property"
Senior Media Buyer,Awamer Alshabaka _اوامر الشبكه,Nasr City,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Digital Marketing, Campaigns, Google Ads, Snapchat, Twitter, Instagram, Facebook, Advertising, Marketing/PR/Advertising"
Social Media Specialist - Real Estate,Confidential,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Social Media, Digital Marketing, E-marketing, Advertising, Social Networking, Sales Skills, Customer Service, Real Estate Sales"
Accountant,Pretty House,10th of Ramadan City,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"Financial Analysis, Finance, Financial Management, Accounting/Finance"
Projects Management Manager - Light Current...,SMARTTEL,Nasr City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Project Management, Fire Alarm, PMP, CCTV, Access Control System, Time Attendance System, Audio/video Intercom system, IPTV, Low Voltage"
Customer Service Representative,Confidential,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Males Only, Customer Service, Customer Support, Customer Care, Problem Solving, Communication, MS Office, Customer Service/Support"
Sales Account Manager,Egybell,Nasr City,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Business development, Customer Service, English, Sales Skills, Sales Target, B2B, Business Development, Customer Service/Support"
Sales Specialist Real Estate,Oscar Developments,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Customer Service, Customer Care, Communication Skills, Sales/Retail"
