Title,Company,Location,Type,Level,YearsExp,Country,Skills
SharePoint Developer,Mantrac,10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Software Development, ASP.NET, Web Development, javaScript, CSS, AJAX, T-SQL, SharePoint 2016/2013/2010, Html 4"
Plumping Engineer.,Two-Wires,Cairo,Full Time,Experienced,3-4 Yrs of Exp,Egypt,"site, Electrical Engineering, English, Mechanical Engineer, Engineering - Mechanical/Electrical"
Cashier,Academic Bookshop,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Finance, Customer Service, Customer Care, Customer Support, Cashier, Commerce, Business, Accounting/Finance"
Secretary - Hurghada,Property Hills,Hurghada,Full Time,Entry Level,1-3 Yrs of Exp,Red Sea,"Secretary, Hurghada, Administration, Office Management, English, Administration"
Warehouse Manager - Multinational - Alexandria,Pillars,Alexandria,Full Time,Manager,8-10 Yrs of Exp,Egypt,"Logistics, Supply Chain, Warehouse Management, Food Industry, Logistics/Supply Chain"
Website Designer (Ecommerce),Confidential,Abdeen,Part Time,Experienced,3-5 Yrs of Exp,Cairo,"UX, Web Design, IT, JavaScript, jQuery, CSS, HTML, Photoshop, Illustrator, InDesign, Ecommerce, Creative/Design/Art"
Business Development Specialist,SHNAG Architects,Giza,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Customer Support, Customer Care, Architecture, Design, Sales Skills, Sales Target, Construction, Adobe Photoshop, English"
Account Executive,Confidential,Sheraton,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Care, Customer Support, Customer Service, MS Office, Account Executive, Sales Skills, Sales Target, English, Presentation Skills"
Projects Document Control Specialist,United ATS,Obour City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Document Controlling, Computer Skills, Microsoft Office, Microsoft Excel, Microsoft PowerPoint (PPT), ACONEX, Administration, Administration"
Draftsman,Edges designs,Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"AutoCAD, Engineering, Revit, Adobe Photoshop, Interior Design, Adobe Illustrator, Architecture, Draftsman, 3D, Shop Drawings"
Graphic Designer - Internship,Businessita Women Empowerment,Cairo,Internship,Student,0-1 Yrs of Exp,Egypt,"Creativity, Adobe Photoshop, Adobe Illustrator, Internship, Creative/Design/Art"
Dentist - KSA,Elite,Abha,Full Time,Experienced,2+ Yrs of Exp,Saudi Arabia,"Medicine, Healthcare, master, Dentist, Medical Services, Medical/Healthcare"
C++/Rust Developer,VA Computing Egypt,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"C++, Rust, Computer Engineering, Computer Science, English, Google Cloud, Azure, NoSQL, AWS, Software Engineering, IT"
Senior Creative Content Creator & Copy Writer,Bee Interactive Ltd.,Zamalek,Full Time,Experienced,6+ Yrs of Exp,Cairo,"Editorial, Social Media, Marketing, Content Creation, Creative Writing, Mass Communication, Arabic, English, Digital"
Dispatcher Specialist (Logistics Coordination),Foodak,Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Logistics, Fleet Management, Dispatcher, Customer Service, English, Customer Service/Support, Logistics/Supply Chain"
Aftermarket Spare Parts Section Head,Geyushi Motors,10th of Ramadan City,Full Time,Manager,10+ Yrs of Exp,Cairo,"Maintenance, Mechanical Engineering, manufacturing, sales, aftermarket, marketing, factory, geyushimotors, Automotive spare parts"
Admissions Officer,El Sewedy Education,Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Higher, Education, Administration, Microsoft Office, Office Management, Communication Skills, Administration, Other"
