Title,Company,Location,Type,Level,YearsExp,Country,Skills
HR Specialist,Unival,Sheraton,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Recruitment, Personnel, Microsoft Office, Performance Management, Employee Relations, Compensation, Benefits, Selecting"
Senior Software Tester,Confidential,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"QC, QA, Information Technology (IT), Computer Science, Quality Assurance, Quality Control, Automation, IT/Software Development"
Marketing Officer - ASDP - Aswan,Aga Khan Foundation,Aswan,Full Time,Experienced,2-3 Yrs of Exp,Aswan,"Journalism, Public relations skills, Communication Skills, Digital Marketing, Social Sciences, English, Arabic, Creative/Design/Art"
Furniture Sales Representative,Metal & Steel Innovation,New Cairo,Full Time,Freelance / Project,2-4 Yrs of Exp,Cairo,"2 Vacancies, AutoCAD, Interior Design, Graphic Design, 3ds Max, Architecture, Adobe Photoshop, Adobe Illustrator, Retail"
Head Nurse,Confidential,Helwan,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Nurse, Nursing, Healthcare, Management, Medical/Healthcare"
"Senior Project Manager - (Software, Mobile...",PaySky,New Cairo,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, PMP, Analysis, Software, Business, Implementation, Engineering, Design"
Business Development Engineer,CPAS,Heliopolis,Full Time,Experienced,8+ Yrs of Exp,Cairo,"Engineering Consultancy, Architecture, English, Engineering - Construction/Civil/Architecture, Business Development"
Sales Representative,Apexos Group,Sheraton,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Customer Service, F&B, B2B, Sales Skills, Sales Target, Customer Service/Support, Sales/Retail"
Business Analysis Officer,Misr Elkheir Foundation,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Excel, Finance, Accounting/Finance, Business Development, Analyst/Research"
Recruitment Specialist,Tamweely,Shubra,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Recruitment, Human Resources (HR), Interviewing, Recruiting, Microsoft Office, Human Resources"
Operations Manager,Confidential,Minya,Full Time,Manager,8-10 Yrs of Exp,Egypt,"Management, Production, Mechanical Engineering, Pipes, Extrusion, Maintenance, Installation/Maintenance/Repair, Operations/Management"
Pivot Irrigation Sales Engineer,Tawakol for Investment and Development (TID),Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Sales Skills, Customer Service, Pivot Irrigation, Agriculture, Circulation Pumps, Sales/Retail, Engineering - Other"
Mobile Developer - ReactNative,IKEN Technology,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Computer Science, Android, Software Development, Mobile Development, Engineering, RESTful, React-Native, UI, UX"
Office Manager,The Portal,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Office Management, Administration, Administration, Operations/Management"
.Net Developer - Alexandria,Confidential,Sidi Gaber,Freelance / Project,Work From Home,3+ Yrs of Exp,Alexandria,"4 Vacancies, .NET, SQL, MVC, Xamarin, HTML5, CSS3, javaScript, REST, RPC, Software Engineering, Agile, C#"
Java Software Team Lead,Spectro,Maadi,Full Time,Manager,8-10 Yrs of Exp,Cairo,"Computer Science, Software Development, Software Engineering, javaScript, SOAP, RestFull, Apache, Angular JS, PostgreSQL"
Sales Representative,Tragfocus,Heliopolis,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Pharmacy, Agriculture, Biochemistry, APIs, Pharmaceutical Ingredients, Sciences, Veterinary Medicine"
Sales Representative,DRAPP,Cairo,Part Time,Freelance / Project,1+ Yrs of Exp,Egypt,"1+ Yrs of Exp, 4 Vacancies, Customer Service, Pharmaceutical, Medical Insurance, Sales Skills, Sales Target, English"
Junior Software Engineer (SDE),Confidential,Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Software Engineering, SQL, C#, jQuery, ASP.NET, APIs, Microservices, Kubernetes, Computer Science, English, WCF"
Digital Marketing Specialist,MZ Media,Alexandria,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Social Media, Digital Marketing, E-marketing, Google Adwords, Communication Skills, Management, Social Networking, Social Analytics"
Store Keeper,EL SHIDEED,Obour City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Store Keeping, Warehousing, Logistics, Supply Chain, Communication Skills, Logistics/Supply Chain"
English Teacher ( Second Language ) / Lower...,Modern American School of Egypt 2000,New Cairo,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"English Teacher, Lower Primar, Education, Teaching, Education/Teaching"
