Title,Company,Location,Type,Level,YearsExp,Country,Skills
Online Sales Specialist,kazary,Obour City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Online Sales, E-Commerce, Retail, Marketing, English, Sales Skills, Menswear, Customer Service/Support, Sales/Retail, Fashion"
HR & Admin Officer,MAKTech 3d,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Administration, Labor Law, Spreadsheets, Communication Skills, Microsoft Office, English, Administration, Human Resources"
Assistant HR Manager,Monginis Bakery,Abu Rawash,Full Time,Experienced,7+ Yrs of Exp,Giza,"Administration, English, Labor Law, Arabic, HRIS, Administrative, Recruitment, Selecting, Interviewing, HR Management"
Senior Sales Agent - Real Estate,4 Destination Real Estate,Heliopolis,Full Time,Experienced,2+ Yrs of Exp,Cairo,"English, Real Estate, Sales Skills, Sales Target, Customer Service/Support, Sales/Retail"
Senior Technical Office Engineer (Furniture &...,Ideal House,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Males Only, Furniture, Woodworking, Kitchen Design, Kitchen Drawing, Interior Design, Fine Arts, Engineering, AutoCAD, Sketch-up"
Clearance / Logistics Coordinator,Zamil Steel Buildings Co,6th of October,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Foreign Purchasing, Air Freight, Customs Cearance, Supply Chain, Customs Clearance, English, Operations, Logistics/Supply Chain"
Sales Account Manager,Broadnet,Riyadh,Full Time,Experienced,5+ Yrs of Exp,Saudi Arabia,"Sales Skills, Customer Service, Customer Support, Account Management, Microsoft Office, Sales Target, English, Arabic"
Export Manager,o2proformance,Giza,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Logistics, Management, Logistics/Supply Chain"
Warehouse Manager (Automotive),Geyushi Motors,10th of Ramadan City,Full Time,Manager,5-10 Yrs of Exp,Cairo,"Logistics, Warehouse Management, Supply Chain Management, MS Office, Automotive Warehousing, Excel, Business Administration"
QC Engineer,Pharous LLC,Alexandria,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"QA, Information Technology (IT), Computer Science, Quality Control, QC, Quality Assurance, Testing, Java, Web Applications"
Office Manager/ Executive Assistant,Al Arab Group,Sheikh Zayed,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Administration, Secretary, English, Arabic, Administration"
UI Developer/Designer,Tech-Hub,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, UI, Software Development, CSS, HTML, javaScript, UI Design, Adobe Illustrator"
Store Keeper - Qalubia,EGIC,Qalubia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain"
Sales Agent,Texly,Ain Shams,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Communication, Negotiation, Presentation Skills, Selling, Customer Service, English, Management, Sales Target"
Senior IOS Developer,Profolio Consulting,Maadi,Full Time,Work From Home,3+ Yrs of Exp,Cairo,"2 Vacancies, Information Technology (IT), Software Development, Swift, JSON, Computer Science, RESTful, Agile, Appium, TestNG"
Executive Secretary,Peerless,Mohandessin,Full Time,Experienced,6-10 Yrs of Exp,Giza,"Administration, Office Management, Microsoft Office, English, MS Office, Executive Secretary, Administrative, Personal Assistant"
IT Technical Support Engineer,Pillars,Hadayek Alahram,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Information Technology (IT), Computer Science, TroubleShooting, Linux, WAN, LAN, Cisco, Installation/Maintenance/Repair"
General Manager,QETC Middle East,Maadi,Full Time,Shift Based,2+ Yrs of Exp,Cairo,"Communication, Planning, Leadership, English, Financial Management, Business Development, Sales, Marketing, Operations/Management"
Microsoft Dynamics AX Consultant,Allamna Integrated Solutions,Heliopolis,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Microsoft Dynamics AX, ERP, AX, Computer Science, AX2012, Accounting, SQL, SSRS, Accounting/Finance"
Corporate Sales Executive - Hotel Supplies,Term,New Cairo,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Corporate Sales, Sales Target, English, Computer Skills, Customer Service, Marketing, Arabic, B2B Sales, Hotels Sales"
