Title,Company,Location,Type,Level,YearsExp,Country,Skills
Store Keeper,Toya Advertising,Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Supply Chain, Store Keeping, Warehousing, Printing, Advertising, Packing, Logistics/Supply Chain"
Social Media Moderator,Toya Advertising,Nasr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Communication Skills, Social Media Channels, Customer Support, Customer Service, Marketing/PR/Advertising, Media/Journalism/Publishing"
Software Quality Control Team Leader,BI-Technologies,Katameya,Full Time,Manager,8-12 Yrs of Exp,Cairo,"Computer Science, SQL, Software, Management, Writing, Testing, Quality Assurance, QC Lead, Computer Engineering, Telecom, IT"
Personal Assistant & Office Manager,Ali & Co,Zamalek,Full Time,Experienced,4-8 Yrs of Exp,Cairo,"Office Management, English, Business Administration, Law, Reports, French, Filing, Microsoft Office, Secretary, Arabic"
Sales Trainer (Cairo),OPPO Egypt,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Instructour, Sales Training, Trainer, Training Plan, Sales Skills, Training Material, Mobile Phones, Promotional Activities"
Wordpress Developer,Awamer Alshabaka _اوامر الشبكه,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Information Technology (IT), Development, PHP, Plugins, Coding, WordPress Plugin, IT/Software Development"
Receiving Specialist,Maxab,Cairo,Full Time,Shift Based,0-1 Yrs of Exp,Egypt,"4 Vacancies, MS Office, Logistics, Supply Chain, Purchasing, Procurement, Warehousing, Logistics/Supply Chain"
Office Manager,MakladWali,Downtown,Part Time,Entry Level,1-2 Yrs of Exp,Cairo,"Social Media, Arabic, Office Management, Microsoft Word, Excel, Administration"
Site Accountant - Assuit,INTECH,Assuit,Full Time,Experienced,2+ Yrs of Exp,Assiut,"Finance, Commerce, Accounting/Finance"
Cashier Accountant,Castle developments,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Cashier, Finance, Financial Analysis, Excel, English, Accounting/Finance"
Service Reception Advisor - 10th of Ramadan,MTI Automotive,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Customer Care, Customer Support, Mechanical Engineering, Electrical Engineering, Automotive, Adminsitration, Office Management"
French Customer Service Associate - Alexandria,Majorel Egypt,Mandara,Full Time,Entry Level,0-1 Yrs of Exp,Alexandria,"Customer Service, Customer Care, Sales Skills, Communication Skills, MS Office, MS, Customer Support, Computer Skills, French"
General Accountant - Cairo,Tiba steel,Heliopolis,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"financial analysis, Accounting, Finance, Accounting/Finance"
Industrial Designer,Sega_m,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Industrial Design, Applied Arts, CAD, Creative/Design/Art"
Data Entry Analyst,Mishkat Nour,Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Data entry, Data Analysis, Microsoft Office, Economics, Computer Science, Mathematics, Statistics, Administration"
Oracle HCM Consultant,Pillars,Maadi,Full Time,Experienced,5-10 Yrs of Exp,Cairo,"HCM, Information Technology (IT), Fusion, SAP, NetSuite, French, English, Customer Management, Customer Service/Support"
Recruiter,Profolio Consulting,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Human Resources (HR), Microsoft Office, Hiring, English, Recruiting, Interview, IT, On Boarding, Candidate Experience, Personnel"
Data Science Team Lead,Artificial Intelligence and Data Mining (AIDM),Jeddah,Full Time,Manager,8+ Yrs of Exp,Saudi Arabia,"Deep Learning, NLP, Data Science, Team Leadership, Data Mining, Analytics, Python, Tensorflow, Keras, Computer Science, .NET"
Senior PHP Developer,Togar,New Nozha,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"PHP, Information Technology (IT), Software Development, CSS, Computer Science, javaScript, MySQL, HTML, OOP, AJAX, WordPress"
Construction Manager,Confidential,New Capital,Full Time,Manager,10+ Yrs of Exp,Cairo,"Operations, Civil Engineering, QA, QC, Communication, Engineering - Construction/Civil/Architecture, Operations/Management"
Sales Manager,Powerline,Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Communication Skills, Customer Service, Sales Skills, Sales/Retail"
Sales Representative,Timo Trade,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Marketing, Sales Skills, Sales Target, Business, Sales/Retail"
Accountant,DIRAC SYSTEMS,Cairo,Full Time,Entry Level,null Yrs of Exp,Egypt,"ERP, Finance, Business Administration, Computer Science, Accounting, System Engineering, Financial Management, Financial Analysis"
Business Development Manager AA - 6th of October,Nile Projects & Trading,6th of October,Full Time,Manager,6-8 Yrs of Exp,Giza,"Communication Skills, Computer Skills, Microsoft Office, Microsoft Word, Microsoft Excel, Office Management, E-marketing, Market Research"
