Title,Company,Location,Type,Level,YearsExp,Country,Skills
Supply Chain Manager,alrowad tannery,Badr City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Supply Chain, Purchasing, Logistics, English, Export, Import, Microsoft Office, Computer Skills, Microsoft Excel, Management"
Digital Marketing Specialist,Confidential,Bourj Alarab,Full Time,Experienced,2-5 Yrs of Exp,Alexandria,"Digital Marketing, SEO, E-marketing, PPC, Google Adwords, Content, Marketing/PR/Advertising, Media/Journalism/Publishing"
Recruitment & OD Manager,Confidential,Giza,Full Time,Manager,10+ Yrs of Exp,Egypt,"OD, Compensation Program, Personnel, Salary Surveys, Job Descriptions, HR Systems, HR Manager, HR, Recruitment, Interviewing"
Junior Accountant - Shared Services,Confidential,Katameya,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Accounting, Finance, Financial Analysis, English, Computer Skills, Microsoft Office, Business Administration, Ledgers, Journals"
Import Coordinator,Anasia Egypt for Trading,Sheraton,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Logistics, English, Computer Skills, Microsoft Office, Administration, Logistics/Supply Chain"
Software QC Tester,Ithmaar Integrated Solutions,Giza,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Computer Science, Information Technology (IT), QC, QA, Automation, Software Development, Performance Testing, Computer Engineering"
Senior ERP Financial Application Consultant,Microtech,Dokki,Full Time,Experienced,4+ Yrs of Exp,Giza,"ERP, Consultant, Software, Information Technology (IT), Accounting, Business, Project Management, Manufacturing, Implementation"
Python Developer (Odoo),ZAD Solutions,Mohandessin,Full Time,Entry Level,1+ Yrs of Exp,Giza,"Python, Information Technology (IT), Computer Science, Odoo Modules, Software Development, PostgreSQL, Git, Linux, HTML, CSS"
Senior Business Analyst,Confidential,Cairo,Full Time,Experienced,5-10 Yrs of Exp,Egypt,"Information Technology (IT), Computer Science, System Analysis, Business Planning, Software Development, Technical Analysis"
Brand Manager,Sima Food Industries,Heliopolis,Full Time,Manager,5+ Yrs of Exp,Cairo,"Marketing, Branding, Social Media, Market Research, Communication, Marketing/PR/Advertising, Media/Journalism/Publishing"
Technical Quality Control Engineer - New Cairo,"General Star Business Development Co.,(Egypt)",New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Computer Skills, Microsoft Office, English, Furniture, Woods, Quality Control, Engineering, Quality, Engineering - Other"
Senior ReactJs Developer,Confidential,Nasr City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Computer Science, Front End, Software Development, Software Engineering, Reactjs, Programming, UI, UX, iOS, Android"
Digital Marketing Specialist,Shifa Egypt,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Digital Campaigns, Online Marketing, Social Media, E-marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Events Specialist,Shifa Egypt,New Cairo,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Events, Social Media, Microsoft Office, Business Development, Marketing/PR/Advertising"
Sales Director (Steel Or Construction),Confidential,Dokki,Full Time,Senior Management,15+ Yrs of Exp,Giza,"Sales Skills, Sales Target, Engineering, Steel, Business Development, Building Material, Construction, English"
Quality Assurance Engineer - Internship,IKEN Technology,Maadi,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Quality Assurance, Information Technology (IT), Troubleshooting, Testing, QA, Quality Control, QC, Computer Engineering, English"
Sales Representative - Multinational Insurance...,Confidential,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Insurance, Communication, Customer Service, Selling, Sales Skills, Negotiation Skills, Sales Target, English, Sales/Retail"
Medical Supply Chain Manager,Confidential,Alexandria,Full Time,Manager,3+ Yrs of Exp,Egypt,"Purchasing, Management, Pharmacy, Supply Chain Manager, Leadership, Medical, Pharmaceutical, Procurement, Logistics/Supply Chain"
Senior Recruitment Specialist,Confidential,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Recruitment, Personnel, English, HR, Hiring, Human Resources"
