Title,Company,Location,Type,Level,YearsExp,Country,Skills
Math Supervisor,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,10+ Yrs of Exp,Giza,"Curriculum, Teaching, Maths, Education, Education/Teaching"
Senior Purchasing Specialist,Confidential,Abu Rawash,Full Time,Experienced,3+ Yrs of Exp,Giza,"Purchasing, Commerce, Excel, Communication Skills, Procurement, Logistics, Purchasing/Procurement"
Sales Manager - Office Furniture,Special for office furniture,Cairo,Full Time,Manager,4+ Yrs of Exp,Egypt,"Sales Target, Customer Service, Sales Management, Office Furniture, Sales/Retail"
Inventory Controller,Mintra - Misr for Industry and Trade,Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Finance, Logistics, Inventory Control, Business Administration, Financial Analysis, Microsoft Office, Excel User, Supply Chain"
Secretary / Office Manager,Keep In Touch Advertising Company,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Secretary, Social Media, English, Administration, Administration"
Senior Design Civil Engineer,Qawafil For Real Estate Investment,New Cairo,Full Time,Experienced,8-10 Yrs of Exp,Cairo,"Design, AutoCAD, ETABS, Revit, Real Estate, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
Senior Site Engineer (AV-Systems),Audio Technology,Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"AV, Audio Visual, Crestron, Extron, DBX, Cisco, Arabic, English, Communication Engineering, Travel, Computer Skills"
Senior CRA,TCD MENA,Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Medical, Science, CRA, Pharmaceutical, Pharmacy, ICH GCP, SA GCP, R&D/Science, Medical/Healthcare, Pharmaceutical"
Sales Operator Specialist (B2B),TRANSSION HOLDINGS,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Males Preferred, B2B Sales, OR Retiles, sales operations, Sales channel, Sales Target, Sales Skills, Business Development"
ERP System Admin,SERA Mattress & Furniture,Obour City,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"System Administration, Information Technology (IT), Computer Science, Installation/Maintenance/Repair, IT/Software Development"
Flutter Developer,Totals Tech,Al Ahmadi,Work From Home,Entry Level,1-3 Yrs of Exp,Kuwait,"app development, react native, Information Technology (IT), Computer Science, Software Development, Android, JSON, Flutter"
Store Keeper - Sharqia,EGIC,Sharqia,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain"
Service Coordinator,Quantum Automatic Systems,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Customer Service, Administration, Customer Care, Maintenance, Communication Skills, English, Arabic, Administration"
Regional Sales Manager / Cardboard Box Industry -...,Egyptian Canadian Company For Manufacturing Cartons (Golden Packs),10th of Ramadan City,Full Time,Manager,5-12 Yrs of Exp,Sharqia,"Cardboard Boxes, B2B, Production, FMCG, Sales Target, Sales/Retail"
