Title,Company,Location,Type,Level,YearsExp,Country,Skills
Floor controller,Atheel CC,Cairo,Full Time,Entry Level,null Yrs of Exp,Egypt,"Communication Skills, Firm, Administration"
Senior Android Developer,Aqarmap.com,Nasr City,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Software Development, Android SDK, Android Studio, Computer Science, Information Technology (IT), Software Engineering, Java"
Call Center Technical Trainer,Confidential,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Customer Support, Communication Skills, English, Training, Customer Care, Customer Service, Customer Service/Support"
Financial Accountant,Talaat Moustafa Group,Dokki,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Financial Analysis, Finance, Accounting, ERP Systems, Accounting/Finance"
Senior Full Stack Developer,Cashcall,Maadi,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Startup, Information Technology (IT), Telecommunication, Computer Science, Software Development, Software Engineering, Java, Programming"
Web Developer,harfco,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"Computer Science, Web Development, Software Development, Engineering, HTML, CSS, IT/Software Development"
Front Office Representative,ADK Egyptian-German Cultural Centre,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Front Office, Administration, Office Management, Secretary, Customer Service, Customer Care, Customer Support, Administration"
Telesales Associate - Cairo,Aqarmap.com,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Corporate Sales, Real Estate, Advertising, Marketing, Sales Skills, Insurance, Sales Target, Outdoor Sales, Telesales, Property"
Sales Representative,Aircomfort company(Plac-viva),New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Sales Target, Sales Skills, Customer Service, Sales/Retail"
Senior Software Sales Specialist,Expand Cart,6th of October,Full Time,Experienced,2+ Yrs of Exp,Giza,"Sales Skills, Selling Skills, Sales Target, B2B Sales, Corporate Sales, CRM, Computer Science, Information Technology (IT), IT Sales"
Software Business Analyst,Expand Cart,6th of October,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Business Analysis, Computer Science, Software Development, Computer Engineering, Scrum, IS, IT/Software Development"
Social Media Moderator,Milkys,Sheikh Zayed,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Communication Skills, E-marketing, Writing, Editing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Retail Sales Supervisor (Distribution),FRIDAL,Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,"Sales Skills, Sales Distribution, Sales Target, Retail Sales, Sales/Retail"
Agricultural Engineer - Siwa Oasis,Delta for construction and rebuilding,Siwa Oasis,Full Time,Entry Level,1+ Yrs of Exp,Matruh,"Agricultural Engineering, Farm Management, Engineering - Other"
Customer Service Agent - Travel Adviser,Flairstech,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Tourism, Customer Service, Customer Support, Customer Care, Sales, Customer Satisfaction, Customer Inquiries, Customer Complaints"
Senior Internal Auditor,Misr Elkheir Foundation,Mokattam,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Accounting, Finance, Auditing, Accounting/Finance, Banking"
Farm Manager,Delta for construction and rebuilding,Siwa Oasis,Full Time,Manager,10+ Yrs of Exp,Matruh,"Farm Management, Operations, Agriculture Engineering, Agricultural, R&D/Science, Operations/Management, Engineering - Other"
Sales Manager,Right Link Solution Marketing .co,6th of October,Full Time,Manager,3-5 Yrs of Exp,Giza,"Sales Skills, Sales Target, Customer Care, Customer Support, Customer Service, Communication Skills, Marketing, Sales/Retail"
Head Of Grapes Production Section,Confidential,Minya,Full Time,Manager,7-10 Yrs of Exp,Egypt,"Manufacturing, Grapes, Agriculture, Farming, Manufacturing/Production, Engineering - Other"
Store Keeper - Kafr Alsheikh,EGIC,Kafr Alsheikh,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain"
ERP Application Consultant,Rednet It Services,Cairo,Full Time,Experienced,3-7 Yrs of Exp,Egypt,"ERP, Accounting, Microsoft SQL Server, C#.Net, Software Development, Software Engineering, Computer Science, IT"
Web / Social Media Designer,Better & Partners' Communications,Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Social Media, Marketing, English, Creative/Design/Art, Marketing/PR/Advertising, Media/Journalism/Publishing"
Data Entry & Social Media Specialist,Al Dar Al Masriah Al Lubnaniah For Publishing,Downtown,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Administration, Accounting, Finance, Commerce, Oracle, Microsoft Excel, Microsoft Office, Computer Skills, Social Media, E-marketing"
Production Engineer,Elif Global,6th of October,Full Time,Entry Level,0-3 Yrs of Exp,Giza,"Production, Mechanical Engineering, Management, Manufacturing, industrial, English, Manufacturing/Production"
IT System Operations Intern,Masria Digital Payment (MDP),New Cairo,Internship,Entry Level,0-1 Yrs of Exp,Cairo,"Information Technology (IT), Computer Engineering, ITI/SD, SW, Linux O.S., DB, Web Logic, SQL, RHEL7, RHCE, RHCSA, Oracle DBA"
