Title,Company,Location,Type,Level,YearsExp,Country,Skills
Technical Support Agent,ExaServe LLC,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Males Only, Customer Service, Customer Support, Technical Support, Customer Care, Communication Skills, Customer Service/Support"
Senior NIX System Engineer,Link Datacenter,Dokki,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Information Technology (IT), Computer Science, Installation, Maintenance, Solaris, CentOS, RedHat, NGINX, WHMCS"
English Instructor For Teens (October / Zayed),E-Planet,6th of October,Part Time,Entry Level,1+ Yrs of Exp,Giza,"Teaching, Education, TEFL, TESOL, TKT, Linguistics, English Literature, Education/Teaching, Training/Instructor"
Front Office Manager (Hotels) Alexandria,Paradise Inn Hotels & Resorts,Mahta Alraml,Full Time,Manager,7+ Yrs of Exp,Alexandria,"Microsoft Office, Office Management, Front Office, Hotels, Hospitality, Secretary, Microsoft Excel, Microsoft Word, Customer Service"
Yacht Operations Executive - Red Sea,Nascotours S.AE,Hurghada,Full Time,Experienced,2-5 Yrs of Exp,Red Sea,"Logistics, Supply Chain, Operations, Shipping, Yachting, Accounting, Sailing, Customer Service, Freight Forwarding, Computer Skills"
Retail Operations Director (Non-food) / VP Retail...,Raneen,Giza,Full Time,Senior Management,15-20 Yrs of Exp,Giza,"Business acumen Result oriented Market Share Multiple Categories, Operations/Management, Sales/Retail"
HR Coordinator,CPAS,Heliopolis,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"HR, English, Recruitment, Microsoft Office, Communication, Excel, Administration, Human Resources"
Senior Infrastructure Engineer - KSA,SURE International Technology,Riyadh,Full Time,Experienced,5-7 Yrs of Exp,Saudi Arabia,"Computer Science, Engineering, DNS, DHCP, Linux, Troubleshooting, Exchange, Backup, Software, Active Directory"
Sales Manager (Multinational Insurance Company),Confidential,New Cairo,Full Time,Manager,3+ Yrs of Exp,Cairo,"Life Insurance, Sales Skills, Sales Target, Leadership, Sales Management, Sales/Retail"
Senior Business Analyst,Smart IT,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"System Analysis, Business Functions, Business Planning, Project Management, Technical Analysis, UML, Analyst, Software Development"
Telesales Representative - Education Field,SYE English Community,Dokki,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Sales Skills, Customer Service, Customer Care, Customer Support, Customer Service/Support, Sales/Retail"
Merchandiser - Upper Egypt,Confidential,Minya,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Merchandising, Home Appliances, Retail, Sales Buzz, Sales/Retail"
Outdoor Sales Representative,EHG Group,New Cairo,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Sales Skills, Outdoor Sales, Sales Target, Food & Beverage, Selling Products, Sales/Retail"
Occupational Safety and Health Certification...,Life Farm,Beni Suef,Full Time,Manager,5+ Yrs of Exp,Egypt,"Health & Safety, Quality Control, Science, ISO, Agriculture, English, Engineering, HSE, OHSAS 18001, Quality"
Marketing Manager,Smart Group,Nasr City,Full Time,Manager,5+ Yrs of Exp,Cairo,"Market Research, Real Estate, Advertising, Marketing Management, Social Media, Operations/Management, Marketing/PR/Advertising"
Math Teacher - Tanta (British Section),Future British International School,Tanta,Full Time,Experienced,2+ Yrs of Exp,Gharbia,"TEFL, Teaching, Education, Mathematics, ICDL, IELTS, English, Education/Teaching"
Customer Service Supervisor,Ship To Box,Sheikh Zayed,Full Time,Manager,1+ Yrs of Exp,Giza,"Customer Service, Customer Care, Shipping, Customer Support, Supervisor, Communication Skills, Management, English, Operations/Management"
Researcher - Turkish Speaker,International Committee of Red Cross,Maadi,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Market Research, Analysis, Social Media, Writing/Editorial, Analyst/Research, Media/Journalism/Publishing"
HR Payroll Specialist,Air Gate,Mohandessin,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Human Resources (HR), Payroll, HR, Personnel, Recruitment, English, Human Resources"
Sales Representative,Wadi Degla Group,Moharam Bek,Full Time,Shift Based,1-2 Yrs of Exp,Alexandria,"6 Vacancies, Sales Skills, Sales Target, Retail, Relationship Management, Account Management, Sales/Retail"
Project Manager,T.B.F.C,Maadi,Full Time,Manager,10-12 Yrs of Exp,Cairo,"Project Management Skills, Electrical Engineering, Site, Engineering - Construction/Civil/Architecture, Project/Program Management"
Factory Manager- Alexandria,Confidential,Bourj Alarab,Full Time,Manager,15-20 Yrs of Exp,Alexandria,"Production, Engineering, Steel Structure, Overhead Cranes, Mechanical Engineering, Civil Engineering, English, Management"
Junior Proposal Engineer,RMS,Mohandessin,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Electrical Engineering, Instrumentation, PLC, Automation Sales, Microsoft Office, Indoor Sales, Mechanical Engineering, Gas Analysis"
Admin Specialist- Alex,Al-Mansour,Alexandria,Full Time,Entry Level,1-4 Yrs of Exp,Egypt,"Administration, Microsoft Office, Data Entry, English, Skills, Administration, Operations/Management"
Fashion Designer,Carina Wear,New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Fashion Design, Research, Trends, Pattern, Garment Construction, Creative/Design/Art, Fashion"
