Title,Company,Location,Type,Level,YearsExp,Country,Skills
Front-End Developer (IOS & Android),Skep Home,Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Software Development, Front End, UI/UX, UX, iOS, Android, UI, Computer Science, IT/Software Development"
Document Controller - Toshka,Daltex,Aswan,Full Time,Entry Level,1+ Yrs of Exp,Egypt,"Document Control, Microsoft Office, Administration, Computer Skills, Microsoft Excel, EDMS, Project Management, MS Office, Documents"
HR Generalist,BusinessClouds,Cairo,Full Time,Work From Home,1-2 Yrs of Exp,Egypt,"Human Resources (HR), Administration, HR, HR Assistant, Personnel, Employee Relations, Administration, Human Resources"
Telesales Agent,Lasirena Group,Maadi,Full Time,Experienced,1-4 Yrs of Exp,Cairo,"Telesales, English, Customer Service, Negotiation Skills, Customer Care, Customer Support, Customer Service/Support, Sales/Retail"
Electrical Maintenance Engineer,ataya,10th of Ramadan City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Electrical Engineering, Leadership, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Front End Developer ( Angular ),Artapart,Maadi,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, Software Development, javaScript, CSS, Git, SASS, Design, Redux, OOP, React"
Digital Marketing Specialist,Zollect,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Startup, Social Media, Google Ad-words, E-marketing, Advertising, Digital Marketing, Marketing Campaign, Content Design, Clickbait"
Property Consultant,Confidential,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Real Estate, English, Communication, Negotiation, Sales/Retail"
Chief Accountant,kraft pack,10th of Ramadan City,Full Time,Manager,5+ Yrs of Exp,Sharqia,"Finance, Accounting, Financial Management, Financial Analysis, Accounting/Finance, Operations/Management"
Accounts Receivable Accountant,Confidential,6th of October,Full Time,Experienced,6-8 Yrs of Exp,Giza,"Accounting, Finance, Financial Analysis, Commerce, Microsoft Office, SAP, Excel, Accounting/Finance"
Account Manager,Akhtaboot Group,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Marketing, Sales Skills, Sales Target, Negotiation, Communication, Sales Account Manager, Key Account Manager, Sales/Retail"
Community Manager,Future Group,Mohandessin,Full Time,Work From Home,2+ Yrs of Exp,Giza,"Social Media, Community Manager, Facebook, Hootsuite, Cross Culture, Marketing, Journalism, Writing, Content, Writing/Editorial"
Senior Full Stack Node.js Developer,Nodens Health,Cairo,Work From Home,Experienced,5+ Yrs of Exp,Egypt,"Node, javaScript, APIs, TDD, Information Technology (IT), Koa, IT/Software Development, Engineering - Telecom/Technology"
Programmer,Sega_m,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Computer Science, Programming, Software Development, Software Engineering, SQL, Python, C++, XML, Java"
Learning Operations / Academic Coordinator,Kiva International Preschool,New Cairo,Full Time,Manager,7+ Yrs of Exp,Cairo,"Manager, International Preschool, Curriculum Development, Admin, Learning Operations, Administration, Operations/Management"
Operations Manager,Egyptian Company for Trading Industry and International Agents,6th of October,Full Time,Manager,5-15 Yrs of Exp,Giza,"Operations, Communication, Analytical, Sales, Operations/Management, Sales/Retail"
Document Controller,Hyundai Rotem,Abbassia,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Writing, Mechanical Engineering, Electrical Engineering, System Analysis, Documentation, Editing, English, Document Controller"
Full Stack Developer,MidEast Communication Systems,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Computer Science, UI, UX, MVC, PHP, Laravel, jQuery, HTML5, CSS3, NodeJS, Nginx, Yaf, SQL, GIT"
Sales Team Leader,property today egypt,New Cairo,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Sales Target, Leadership, Presentation Skills, Sales Skills, Property Sales, Sales/Retail"
Junior Accountant,Confidential,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Commerce, Financial Statements, General Ledger, IFRS, CPA, CMA, Accounting Software, Oracle Financial, English, Financial Analysis"
Accountant,Al Tawoos,Abu Rawash,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Microsoft Office, Communication Skills, AP, AR, Financial Analysis, Financial Management, Finance, Accounting/Finance"
Cost Accountant,Greater Cairo Foundries Co. S.A.E,Belbes,Full Time,Experienced,3-7 Yrs of Exp,Sharqia,"Analytical, Cost Accounting, Financial Analysis, Finance, Accounting/Finance"
