Title,Company,Location,Type,Level,YearsExp,Country,Skills
HR Payroll Specialist,Marbella For Food Industry,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Payroll, Communication, Human Resources (HR), Personnel, Team Management, ERP, Salary Adjustments, Human Resources"
Senior Sales Representative,Byoot Bay,Giza,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Females Only, Customer Service, Telesales, English, CRM, Sales Skills, Sales Target, Sales/Retail"
Full Stack Web & Mobile Developer,RCITH,Cairo,Work From Home,Experienced,4+ Yrs of Exp,Egypt,"Full Stack, Information Technology (IT), Computer Science, Software Development, CSS, HTML, PHP, MySQL, jQuery, javaScript"
Outdoor Sales Engineer- Cairo,Al Sarawat for Contracting and Supplies,Mokattam,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Outdoor Sales, Sales Skills, Communication Skills, Presentation, Engineering, English, Microsoft Office, Sales Target, Management"
Scrum Master ( Software ),Expand Cart,6th of October,Full Time,Manager,2-5 Yrs of Exp,Giza,"Computer Science, Information Technology (IT), Agile, Software Development, Computer Engineering, Communication, Microsoft Office"
Accountant - Alexandria,Pyramids Freight Services,Alexandria,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Commerce, Finance, Financial Management, Financial Analysis, Microsoft Excel, Microsoft Office, Freight Forwarding, Logistics"
Procurement Manager,Raya Contact Center,6th of October,Full Time,Manager,7-10 Yrs of Exp,Giza,"Procurement, Sourcing, Contracts, Supply Chain, Logistics, Business Administration, English, Arabic, Purchasing/Procurement"
Regional Sales Manager - Delta Region,Sima Food Industries,Cairo,Full Time,Manager,10-15 Yrs of Exp,Egypt,"Sales Skills, Business Administration, FMCG Sales, Sales/Retail"
English Instructor - Nasr City,4level1,Nasr City,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Startup, Education, Teaching, Training, ESL, Education/Teaching, Training/Instructor"
Senior Web Developer,Caredirect,Sheraton,Full Time,Experienced,3-10 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, Software Development, Web Development, ASP.NET, C#, jQuery, CSS, javaScript, Git"
Marketing Executive,Hands of Hope Physical Therapy,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Google Adwords, Content Writing, English, Social Media, CRM, Writing/Editorial, Marketing/PR/Advertising"
Call Center Representative,Universal Payment Services,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Customer Service, Customer Support, Call Center, English, Customer Care, Arabic, Communication Skills, Customer Service/Support"
Product Designer (UX Designer),GET Group- Egypt,Sheraton,Freelance / Project,Experienced,4+ Yrs of Exp,Cairo,"Photoshop, XD, Art, OmniGraffle, Axure, Cinema 4D, Lightwave, Maya, 3D, Typographical, CSS, HTML 5, UX"
Senior Network Engineer,QuadraTech for Information Technology,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Networks, CCNP, CCNA, Switching, Security, CCSP, Computer Science, Information Technology (IT), Cisco Solution, CCDA, CCDP"
Regulatory Affairs Section Head,IBE Pharma,Cairo,Full Time,Manager,3-5 Yrs of Exp,Egypt,"Healthcare, Office Management, Quality Control, Dietary Supplement, Pharmacy, Regulatory Affairs, Human Drugs, Administration, Pharmaceutical"
Partner & Business Development Manager,Confidential,New Cairo,Full Time,Manager,10+ Yrs of Exp,Cairo,"Management, Construction, Sales Skills, Sales Target, Business Development"
Sr. Flutter Developer,3i Vision LTD.,Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Applications, Android, ASP.NET, AJAX, Flutter, Software Development, Computer Science, IT/Software Development"
Senior Sales Executive - Real Estate,AGD,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Sales Target, Communication, Negotiation Skills, Customer Service, Presentation Skills, Real Estate, Sales/Retail"
Retail Sales Representative - Damietta,EGIC,Damietta,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Services, Customer Care, Retail, Collection, Distribution, Selling Skills, Negotiation Skills"
Retail Sales Representative - Ismalia,EGIC,Ismailia,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Services, Customer Care, Retail, Collection, Distribution, Selling Skills, Negotiation Skills"
Senior Front End Developer,Radivision,Cairo,Full Time,Experienced,4+ Yrs of Exp,Egypt,"Computer Science, Software Development, javaScript, Agile, JSON, AWS, SEO, API, Testing, Git, GraphQL"
Customs Clearance Senior Specialist,Confidential,Cairo,Full Time,Experienced,4-6 Yrs of Exp,Egypt,"Supply chain, Customer Service, Customer Care, Logistics, Customer Support, Communication Skills, English, Export"
Electrical Engineer,Bariq/Raya Holding,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"PLC, FMCG, Plastic, Electronics, Engineering - Mechanical/Electrical"
Internal Audit Officer,Agile Technologies,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Auditing, Finance, Computer Skills, MS Office, Accounting Software, Internal Auditor, Accounting/Finance"
