Title,Company,Location,Type,Level,YearsExp,Country,Skills
Maintenance Engineer,Confidential,Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Electrical, Machine Maintenance, Education, Training, Printing Machine, Installation/Maintenance/Repair"
Graphic Designer,Maxevia Corporate,Nasr City,Full Time,Entry Level,1-4 Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Editing Software, IT, Marketing, Creative/Design/Art, Marketing/PR/Advertising"
Business Development Specialist,Transtec Translation,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Business Development, Sales Target, Localization, English, Business Development, Sales/Retail"
Sales Engineer,Diamond for Import & Export,Giza,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Sales Skills, Computer Skills, Sales Target, Sales/Retail, Engineering - Mechanical/Electrical"
Front Desk Receptionist- Night Shift,Al fawzy dental,Agouza,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Administration, Office Management, English, Communication, Microsoft Office, Administration, Customer Service/Support"
Senior MS Exchange Engineer,"Roaya IT Solutions,",Maadi,Full Time,Experienced,7+ Yrs of Exp,Cairo,"SCOM, Software Development, ITIL, PMP, MCSE, VMWare, Linux, Information Technology (IT), Computer Science, Computer Skills"
Senior Graphic Designer,UPTURN,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Adobe Photoshop, Marketing, Real Estate, Graphic Design, Creative/Design/Art"
Sales Representative,Ecabiotec Egypt,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Sales Skills, Customer Service, MS Office, Communication, Sales Target, Business, Negotiation Skills, English, Selling"
Payroll & Compensation Specialist,Nahdet Misr Publishing Group,Mohandessin,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Human Resources (HR), Compensation and Benefits, Human Resources"
Business Analyst / Product Owner,3i Vision LTD.,Dokki,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Business Analysis, Agile, Scrum, Analytical Skills, Computer Science, MIS, SQL, IT/Software Development"
Agribusiness Linkages Coordinator (Minya),Abt Associates,Minya,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Agricultural Development, Business Development, Strong Networking, Forward Contracts, USAID-funded projects, Business Development"
Retail Sales Representative - Gharbia,EGIC,Gharbia,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Sales Skills, Sales Target, Customer Services, Customer Care, Retail, Collection, Distribution, Customer Service/Support"
Sales Manager,Confidential,Abbassia,Full Time,Manager,7-15 Yrs of Exp,Cairo,"Customer Service, Sales Target, Business, Negotiation Skills, textile, fabric, Leadership, B2B, Communication, Business Development"
HR Specialist,Encon Group,Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"HR, Personnel, Recruitment, Hiring, Egyptian Labor Law, English, Arabic, Human Resources"
