Title,Company,Location,Type,Level,YearsExp,Country,Skills
Property Consultant - Sales Real Estate,El Moltaqa,Nasr City,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Sales Target, Real Estate Sales, Property Consultant, Sales/Retail"
Office Manager,Pace engineering solutions,Maadi,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Business Administration, Sales Admin, Sales Skills, Administration, Sales/Retail"
3D Visualizer - Interior Designer,Tri Real Estate,Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"2D, Interior Design, 3D Max, Architecture, AutoCAD, Elevation Drawings, 3D Rendering, 3D, English, 3D Visualizing"
Assistant Manager - Learning & Development,Allianz,New Cairo,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Learning & Development, Training and Development, Labour Law, Project Management, Human Resources"
Warehouse Officer - امين مخزن,Confidential,Al Rass,Full Time,Experienced,3+ Yrs of Exp,Saudi Arabia,"Supply Chain, Logistics, Computer Skills, Commerce, Warehousing, Logistics/Supply Chain"
Senior Corporate B2B Sales Representative,IMS,New Cairo,Full Time,Experienced,5+ Yrs of Exp,Cairo,"B2B, Corporate Sales, Selling, Sales Skills, Business Development, Marketing/PR/Advertising, Sales/Retail"
Senior Technical Support Agent,Expand Cart,6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Technical Support, Customer Service, Customer Support, English, Customer Care, E-commerce, CSS, HTML, Management, javaScript"
Real Estate Sales Associate,Confidential,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Real Estate, Sales Skills, Sales Target, Outdoor Sales, Property, Customer Service, Customer Care, Customer Support, Advertising"
Tax & Audit Manager,AlMohaseboon for financial & Tax consulting,Nasr City,Full Time,Manager,8+ Yrs of Exp,Cairo,"Taxation, Computer Skills, Finance, Accounting Firms, Accounting/Finance, Operations/Management"
Full Stack Developer,appenza,New Cairo,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Computer Science, Software Development, Engineering, Telecom, Full Stack, javaScript, PHP, Angular, Git, React"
Biology Teacher - Oman,Alam Almaarifa,Muscat,Full Time,Experienced,3-5 Yrs of Exp,Oman,"Females Preferred, Biology Teaching, Eduacation, Education/Teaching"
Attorney - Contracts,Confidential,Maadi,Full Time,Experienced,10+ Yrs of Exp,Cairo,"Banking, Legal, Law, Contracts, English, Real Estate, Legal"
Senior Java Developer,Egabi FSI,Sheraton,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, Software Development, Web Development, Spring boot, SQL, JBPM, Java SE, Java EE"
Fiber Optics Site Engineer,eCompounds,6th of October,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Electrical Engineering, FTTx, OTDR, Fiber Optic, AutoCAD, Microsoft Office, Microsoft Excel, Microsoft Visio, Computing"
Planning And Cost Control Engineer,MG Developments,Nasr City,Full Time,Experienced,5-9 Yrs of Exp,Cairo,"Cost Control, Project Management, Construction, Primavera, PMT, Civil Engineering, Cost Planning, Engineering - Construction/Civil/Architecture"
Sales Division Coordinator,Interact Technology Solutions,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"IT Sales, Information Technology (IT), Microsoft Office, Sales Target, Computer Science, Software Sales, Customer Service, CRM"
Purchasing Supervisor,DASA,Cairo,Full Time,Manager,5+ Yrs of Exp,Egypt,"Procurement, Logistics, Supply Chain, Business Administration, Beverage, Food, Communication Skills, Logistics/Supply Chain"
Illustrator,Selah ElTelmeez For publishing & printing,Obour City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Adobe Creative Suite, Adobe Photoshop, Adobe Illustrator, Graphic Design, Applied Arts, Fine Arts, Adobe After Effects, Adobe Premiere"
Social Media Moderator,Queens Health Care,Cairo,Full Time,Experienced,2-4 Yrs of Exp,Egypt,"Communication, E-marketing, Online Marketing, English, Arabic, Marketing/PR/Advertising, Media/Journalism/Publishing"
Customer Service Agent,Confidential,Giza,Full Time,Shift Based,0-2 Yrs of Exp,Giza,"7 Vacancies, Customer Support, Customer Service, Communication, English, Customer Care, Presentation Skills, Call Center"
Junior Techno Commercial Engineer,International co for Electrical & Electronic Industries Electro George,Cairo,Full Time,Experienced,2-3 Yrs of Exp,Egypt,"English, Computer skills, ABB, Switchgear, AutoCAD, Microsoft Office, Engineering - Mechanical/Electrical"
Medical Representative & Public Relations...,سلسلة معامل حديثة بالقاهرة,Dokki,Full Time,Part Time,2+ Yrs of Exp,Giza,"Females Only, Social Media, E-marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Senior Front-End Web Developer (Vue.js) -...,Procrew,San Stefano,Full Time,Manager,3+ Yrs of Exp,Alexandria,"Software Development, Vue.Js, Computer Science, Information Technology (IT), FrontEnd, Git, AWS, Cloud, IT/Software Development"
Technical Office Engineer - Architecture,Alexandria Building Center,Alexandria,Full Time,Experienced,10+ Yrs of Exp,Egypt,"Technical Office, Design, Drawing, Architecture, AutoCAD, Primavera, Microsoft Project, Civil Engineering, Revit, English"
