Title,Company,Location,Type,Level,YearsExp,Country,Skills
Labs Supervisor - San3a Tech (Assiut),Cultiv,New Assuit,Full Time,Experienced,2-3 Yrs of Exp,Assiut,"Electronics, Lab, Purchasing, Installation, Operations/Management, Engineering - Mechanical/Electrical"
Odoo ERP Senior Application Manager,Bingo Global,Sheraton,Full Time,Part Time,10-15 Yrs of Exp,Cairo,"ERP, Information Technology (IT), Odoo Modules, Computer Science, Application Manager, IT/Software Development, Project/Program Management"
Odoo Implementer,DGTERA,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Information Technology (IT), Odoo, Computer Science, Python, PostgreSQL, javaScript, HTML, GIT, Linux, Software Development"
Senior MVC .NET Developer,Rasan,Cairo,Full Time,Experienced,4-8 Yrs of Exp,Egypt,"Computer Science, Software Development, C#, Agile, TFS, Troubleshooting, Design, Frontend, MVC.NET, English"
Financial Specialist,Pyramid Glass Company,Bourj Alarab,Full Time,Experienced,5+ Yrs of Exp,Alexandria,"Financial Analysis, Accounting, CFA, CMA, Financial Management, Education, Risk Management, Training, Writing, Accounting/Finance"
Social Media Strategist,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,5+ Yrs of Exp,Giza,"E-marketing, Social Media Marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Secretary Office Manager,Gulf Data International,Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Administration, Secretary, Office Management, English, Computer Skills, Microsoft Office, Administration"
Quality Assurance /Control Engineer,Gulsan Egypt Non-Woven Industries,6th of October,Full Time,Entry Level,0-3 Yrs of Exp,Giza,"Quality Control, Quality Assurance, Engineering, Chemistry, Textile Engineer, Industrial Engineer, QA, QC, English, TO, Quality"
Branch Manager (Retail Store),Mr. Tailor,Cairo,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Operation, Sales Skills, Branch Management, Retail, Customer Service, Customer Care, Customer Support, Stores Management, English"
Junior Real Estate Agent Cairo,Confidential,Nasr City,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Sales Skills, Insurance, Telesales, Property, Business Development, Real Estate Sales, Sales Target, English, Business Development"
Store Manager,LARIBA Chocolate,Heliopolis,Full Time,Manager,4+ Yrs of Exp,Cairo,"Sales Target, Communication Skills, Computer Skills, Microsoft Office, Retail, Store Management, Customer Service/Support, Sales/Retail"
QC Document Controller,Johnson Controls,New Valley,Full Time,Experienced,2-5 Yrs of Exp,Egypt,"Administration, Document Controller, Quality Control, QA, QC, Quality Assurance, Construction, Administration, Quality"
Sr. Document Control,Probuilders,Agouza,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Document Control, Computer Science, English, HTML5, GIT, Administration"
Senior Digital Marketing Project Manager – Arabic...,IstiZada LLC,Cairo,Full Time,Work From Home,4-7 Yrs of Exp,Egypt,"Digital Marketing, E-marketing, Arabic, PPC, Social Media, Online Marketing, English, SEO, Marketing/PR/Advertising"
Senior Design Engineer - A/V Systems,Audio Technology,Heliopolis,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Communication, AudioVisual, Presales, Technical Office, AV Systems, Arabic, English, AV Design, Audio Visual, Audio Engineering"
Procurement & Contracts Engineer,Confidential,Madinaty,Full Time,Experienced,4-8 Yrs of Exp,Cairo,"Procurement, Purchasing, Civil Engineering, Contracting, Engineering - Construction/Civil/Architecture, Purchasing/Procurement"
