Title,Company,Location,Type,Level,YearsExp,Country,Skills
Android Developer internship,MTMs,Heliopolis,Internship,Student,null Yrs of Exp,Cairo,"Database, Mobile Development, Android Development, Information Technology (IT), Software Development, Computer Science, Java"
Junior Operations Engineer,Link Datacenter,Dokki,Full Time,Entry Level,1-3 Yrs of Exp,Giza,"Operations Engineering, Information Technology (IT), Computer Science, Installation, Maintenance, Repair, MySQL, Linux, UNIX"
Senior Accountant,Nejmo,Maadi,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Finance, Commerce, MS Excel, ERP, Accounting/Finance"
Account Manager,Nahdet Misr Publishing Group,Mohandessin,Full Time,Experienced,5+ Yrs of Exp,Giza,"Sales, Media Buying, Advertising, Marketing/PR/Advertising, Sales/Retail, Media/Journalism/Publishing"
Material Management Section Head,Egyptian German Automotive,6th of October,Full Time,Manager,7-10 Yrs of Exp,Giza,"Warehouse, Supply Chain, Logistics, Logistics/Supply Chain"
Business Development Manager,Nahdet Misr Publishing Group,Mohandessin,Full Time,Manager,8-11 Yrs of Exp,Giza,"Business Development Management, Sales Skills, Sales Target, CRM, English, Advertising, Digital Marketing, Salesforce"
E-Marketing Specialist - Cairo,Ansme Financial,Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Social Media, Digital Marketing, Campaigns, Business, Marketing/PR/Advertising, Media/Journalism/Publishing"
Payroll And Personnel Specialist,ProService,Nasr City,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Payroll, Human Resources (HR), Human Resources"
Vodafone Uk Customer Service Agent,Majorel Egypt,6th of October,Full Time,Entry Level,1-4 Yrs of Exp,Giza,"Customer Care, Customer Support, Call Center, English, Customer Service/Support"
Cost Controller,Penta Pharma,Sheraton,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Budgeting, Cost Control, Accounting, Finance, Accounting/Finance"
Power BI Developer,Global Brands,6th of October,Full Time,Experienced,3+ Yrs of Exp,Giza,"Power BI, BI, Business Intelligence, Computer Science, SQL, DAX, Engineering, IT/Software Development"
OD Supervisor,Better Home,New Cairo,Full Time,Manager,10+ Yrs of Exp,Cairo,"OD, HR, Management, HR Diploma, English, Human Resources, Operations/Management"
Tax Accountant - Background FMCG - Alexandria,Premier Services and Recruitment,Smouha,Full Time,Experienced,3-5 Yrs of Exp,Alexandria,"Accounting, Financial Management, Accounting/Finance"
Senior Infrastructure - Civil Engineer,HEIBCO,New Cairo,Full Time,Experienced,6-8 Yrs of Exp,Cairo,"Civil Engineering, Construction, Roads, English, Engineering - Construction/Civil/Architecture, Engineering - Other"
Senior Devops Engineer,Profolio Consulting,Maadi,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Information Technology (IT), DevOps, Software Engineering, Development, Cloud Systems, Networking, IT/Software Development"
Administrative Assistant – Intellectual Property...,Pillars,Hadayek Alahram,Full Time,Experienced,4+ Yrs of Exp,Giza,"Data Entry, Office Management, Computer Skills, Microsoft Office, Secretary, Arabic, English, Administration"
Google Adwords Specialist - Cairo,MatsMall,Cairo,Full Time,Work From Home,1-3 Yrs of Exp,Egypt,"Marketing Campaigns, Social Media, Digital Marketing, SEO, E-marketing, Google Adwords, Google Ads, Shopify"
Technical Sales Representative,Newtrac Trading Co.,Heliopolis,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Males Only, Sales Skills, Technical Sales, Chemistry, Chemical Engineering, Plastics, R&D/Science, Sales/Retail, Engineering - Other"
Digital Media Planning and Buying,Confidential,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Social Media, Google Adwords, SEO, Content Writing, Research, Google Analytics, English, Marketing/PR/Advertising"
B2B Sales Account Manager,Rosetta Corp,Cairo,Full Time,Entry Level,1-2 Yrs of Exp,Egypt,"Customer Service, Account Manager, Sales Target, Customer Service/Support, Sales/Retail"
Procurement Coordinator,Bow and Ark,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Purchasing, Business Administration, Finance, Financial Management, Commerce, Microsoft Office, Communication Skills, Logistics"
Property Consultant - Sales Real Estate,New Plan,Mansoura,Full Time,Entry Level,1-2 Yrs of Exp,Dakahlia,"Communication, Sales Target, Sales Skills, English, Sales Real Estate, Property Consultant, Sales/Retail"
IT Help Desk Officer,Al-Nasser,Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Help Desk, Computer Science, Customer Support, Installation, Communication, Technician, Customer Service/Support"
Digital Marketing Specialist,nichepharma,Sheikh Zayed,Internship,Student,0-1 Yrs of Exp,Giza,"Digital Marketing, Social Media, Pre Sales, Customer Service, Sales Skills, Digital Media, Communication Skills, E-marketing"
