Title,Company,Location,Type,Level,YearsExp,Country,Skills
Data Entry Specialist (Call Center),Cairo Expo for Marketing & Exhibitions,Haram,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Females Only, Customer Service, Data Entry, Microsoft Office, Typing Skills, Call Center, Customer Support, English, Speed"
Production Manager,French Company for Porcelain,Beni Suef,Full Time,Manager,10+ Yrs of Exp,Egypt,"Production, Manufacturing, Engineering, Operations/Management, Manufacturing/Production, Engineering - Mechanical/Electrical"
Full Stack WordPress Web Developer,Infinity Business Solutions,Dokki,Full Time,Experienced,4-6 Yrs of Exp,Giza,"Computer Science, Software Development, javaScript, PHP, Web Development, jQuery, HTML5, CSS3, JSON, Wordpress"
Senior Digital Media Buyer,Arrows,6th of October,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Digital Media Buying, Facebook, ROI, Google Advertising, Social Media, Digital Marketing, SEO, Google Adwords, Campaigns, Snapchat"
Site Accountant - محاسب موقع,Agec,Cairo,Full Time,Experienced,10+ Yrs of Exp,Egypt,"Finance, Financial Analysis, Site Accountant, Accounting/Finance"
Content Creation Instructor,Digitize Academy,Maadi,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Training, Content Creation, Digital Marketing, Writing/Editorial, Marketing/PR/Advertising, Training/Instructor"
Projects Engineer,G.I.S Free Zones,Heliopolis,Full Time,Experienced,2-8 Yrs of Exp,Cairo,"Males Only, Manufacturing/Production, Oil & Gas/Energy, Electronics, Communication Engineering, Project Management"
Operations Auditor,Mishkat Nour,Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"Auditing, Operations, Financial Analysis, Accounting, Finance, Computer Skills, Accounting/Finance, Operations/Management"
Technical Support Specialist,Allamna Integrated Solutions,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, Troubleshooting, Communication, Engineering, Telecom, Installation"
Digital Marketing / Growth Specialist,AQARITO,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Communication, SEO, E-marketing, Digital Marketing, Social Media, Software, SEM, Campaigns, Writing/Editorial, Marketing/PR/Advertising"
Senior Property Consultant,B2C Real Estate,Nasr City,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Real Estate, Sales Skills, Brokerage, Sales Target, Sales/Retail"
Virtual Assistant (Work from Home),Virtual Worker Now,Cairo,Full Time,Shift Based,1-4 Yrs of Exp,Egypt,"1-4 Yrs of Exp, 8 Vacancies, Data Entry, Administration, Google Docs, Startup, Problem Solving, English, Administration"
Senior BMS Sales Engineer,Confidential,Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"HVAC, Mechanical, EngineeringEngineering, Electrical, Sales Skills, Control, Market Research, Sales Target, Marketing, Sales/Retail"
Managing Director Personal Assistant,Confidential,Sheikh Zayed,Full Time,Experienced,4-7 Yrs of Exp,Giza,"Secretary, Business Administration, English, Arabic, MS Office, Office Management, Microsoft Office, Administration"
Front Desk Specialist,Madinet Nasr for Housing and Development,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Front Desk, Administration, Microsoft Office, Office Management, Communication Skills, Administration, Customer Service/Support"
Marketing Executive/ Sales Admin,Location Real Estate,Heliopolis,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Real Estate, SEO, Creative, Content writing, Adobe Photoshop, Property, Writing/Editorial, Marketing/PR/Advertising"
Store Keeper - Suez,EGIC,Suez,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Logistics, SAP, Inventory, Store Keeping, Logistics/Supply Chain"
Technical Sales Coordinator/ Engineer,Industrial Services Center - Datco,Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Sales Skills, Sales Target, English, Microsoft Office, Arabic, Pre-Sales, Mechanical Engineering, Electrical Engineering"
Purchasing Specialist (Automotive Spare Parts),Confidential,New Nozha,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Logistics, Acrobat, Bluebeam, Mechanical Engineering, Automotive Spare Parts, Local Purchasing, Logistics/Supply Chain"
Accountant,SECA,Dokki,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Finance, Financial Analysis, Financial Management, Communication Skills, MS, MS Excel, English, Commerce, Accounting/Finance"
Senior Sales Engineer (Cairo),Target Engineering,Cairo,Full Time,Experienced,6+ Yrs of Exp,Egypt,"Sales Skills, Sales Target, Communication Skills, Computer Skills, Microsoft Office, Electrical Engineering, Oil & Gas Engineering"
Social Media Manager,Profolio Consulting,Maadi,Full Time,Manager,5-6 Yrs of Exp,Cairo,"Digital Marketing, Content Writing, Copywriting, B2B, Adobe Creative Suite, Demand Generation Marketing, Inbound Marketing, Blogging"
Senior HR Generalist,Scientific Medical Equipment Co.,Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Human Resources (HR), Medical, Healthcare, Training, Recruitment, Payroll, Personnel, Human Resources"
SEO Specialist - Cairo,Maxevia Corporate,Cairo,Full Time,Work From Home,2-5 Yrs of Exp,Egypt,"SEO, Search Engine Optimization, Google Analytics, Social Media, Digital Marketing, SEM, HTML, CSS, CMS, MS Excel, PowerPoint"
Trader,Mubasher,Nasr City,Full Time,Experienced,3-7 Yrs of Exp,Cairo,"stock market, Brokerage, Retail, Sales Skills, Accounting, Customer service, Customer Care, Accounting/Finance, Sales/Retail"
Real Estate Sales Agent - Cairo,Target For Property,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Real Estate, Sales Target, Sales Skills, Microsoft Office, Excel, Computer, Sales/Retail"
Business Development Specialist,Egypt Assistant,Heliopolis,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Customer Service, Customer Care, Customer Support, Training, Consulting, Sales Target, Insurance, Indoor Sales"
Head Of Fund Development & Communications,SOS children`s village,Cairo,Full Time,Manager,5-10 Yrs of Exp,Egypt,"Sales Target, Fundraising, NGOs, Marketing, Market Research, Communication Skills, Networking, Operations, Business Development"
Marketing Executive,International Business Systems I.B.S.,Mokattam,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Advertising, Marketing Agency, Design, Media, PR, Sales, Brand Management, Content, Copy Writing, Digital Marketing"
Copywriter,Virtual Worker Now,New Cairo,Full Time,Work From Home,2+ Yrs of Exp,Cairo,"Content Writer, Content Editing, Linguitics, Social Media, Microsoft Office, Copywriting, Writing/Editorial, Marketing/PR/Advertising"
Outsource EPM Consultant,Confidential,Cairo,Full Time,Manager,2+ Yrs of Exp,Egypt,"Consulting, Business Development, Performance Management, Business Development, Operations/Management, Strategy/Consulting"
