Title,Company,Location,Type,Level,YearsExp,Country,Skills
Software Sales Specialist,Akhenaton Techology,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Software, Communication Skills, IT/Software Development, Sales/Retail"
Business Development Manager,Confidential,Mohandessin,Full Time,Manager,3-7 Yrs of Exp,Giza,"Business Development, Sales Skills, B2B Sales, English, Business Development, Sales/Retail"
Senior Graphic Designer,Unicity,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Adobe Illustrator, Adobe Photoshop, Creativity, Communication Skills, Real Estate, Creative/Design/Art"
Document Controller,Zamil Steel Buildings Co,6th of October,Full Time,Experienced,2-3 Yrs of Exp,Giza,"Microsoft Office, Labor Law, Document Control, Administration, Records Management, Documents, Administration"
Tank Construction Engineer - Red Sea,Sinoma-cdi,Ras Ghareb,Full Time,Experienced,5-7 Yrs of Exp,Red Sea,"Tanks, Construction, English, Engineering - Construction/Civil/Architecture, Project/Program Management"
Internal Auditor,Confidential,Mohandessin,Full Time,Experienced,3-7 Yrs of Exp,Giza,"Auditing Standards, Analytical, Microsoft Office, Financial Analysis, MS Office, Accounting Software, Internal Auditing, Accounting/Finance"
Huawei Ecosystem Business Development Manager,Huawei Technologies Egypt,Downtown,Full Time,Manager,3-5 Yrs of Exp,Cairo,"Sales Target, Software Engineering, Networking, javaScript, Python, Objective C, C#, C/C++, Business Development, Sales/Retail"
Sales Representative,ACS logistic company,Gomrok,Full Time,Entry Level,0-3 Yrs of Exp,Alexandria,"Sales Target, Customer Service, Microsoft Office, Sales Representative, Logistics, Negotiation Skills, Communication Skills"
Student Life Manager,El Sewedy Education,Cairo,Full Time,Manager,8-10 Yrs of Exp,Egypt,"Development, Engagement, Other"
Medical Specialist (Research) - Alexandria,Caduceus Lane,Alexandria,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Writing, Pharmacy, Analysis, Biomedical Sciences, Clinical Research, Medical/Healthcare, Analyst/Research, Pharmaceutical"
Senior Warehouse Manager,Alarabia Group,10th of Ramadan City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Warehouse, Planning, Inventory, Sock, Logistics, Supply Chain, Management, Logistics/Supply Chain, Operations/Management"
Accountant,Aramex International,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Finance, Financial Analysis, Financial Management, English, Payroll, Taxes, MS Excel, SAP, Accounting/Finance"
Project Coordinator,Cow Gifts,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Projects, Time Management, Administration, English, Arabic, Microsoft Office, Project Coordination, Budgeting, Business"
