Title,Company,Location,Type,Level,YearsExp,Country,Skills
Marketing Specialist,Sparks preschool,New Cairo,Full Time,Part Time,2+ Yrs of Exp,Cairo,"Social Media, E-marketing, English, Photoshop, Marketing/PR/Advertising, Media/Journalism/Publishing"
Foreign Purchasing Engineer,Egyptian German Automotive,6th of October,Full Time,Experienced,3-6 Yrs of Exp,Giza,"Foreign Purchasing, Shipping Documents, Engineering, Local Purchasing, Logistics/Supply Chain, Purchasing/Procurement"
Senior Resident Engineer,Confidential,Alexandria,Full Time,Manager,20+ Yrs of Exp,Egypt,"Civil Engineering, Design, Container Terminals, Reclamation, Engineering - Construction/Civil/Architecture, Creative/Design/Art"
Purchasing Officer,Confidential,Alhadra,Full Time,Experienced,3+ Yrs of Exp,Alexandria,"Purchasing Officer, Textile, Microsoft Office, Procurement, Vendor Sourcing, Purchasing/Procurement"
Sales Operations Manager,Confidential,Cairo,Full Time,Manager,10+ Yrs of Exp,Egypt,"Sales Buzz, FMCG, Operations, Sales Skills, Management, Excel, Operations/Management, Sales/Retail"
Technical Recruiter,LINK Development,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Human Resources (HR), Technical Recruitment, Screening, Sourcing, English, IT, Human Resources, IT/Software Development"
Senior Account Manager,Flairstech,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Sales Skills, Customer Service, Customer Support, English, Sales Account Management, Sales Target, Marketing, Sales/Retail"
Information Security Senior Supervisor - Business...,Xceed,Maadi,Full Time,Manager,4+ Yrs of Exp,Cairo,"Computer Science, Computer Engineering, CISA, CISM, Communication, CISSP, English, SOC, ISO 27001, GDPR, Compliance"
Activation Supervisor,classera.,Cairo,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Computer Science, Information Technology, Learning Technologies, Learning Project, English, Product Owner, Project Management, Education"
Technical Sales Lead/Account Manager (Web +...,GULFCYBERTECH,Muscat,Full Time,Manager,5+ Yrs of Exp,Oman,"Sales Skills, Business Development, Account Management, Mobile Applications, Leads, Information Technology (IT), IT/Software Development"
Account Executive ( Digital Agency ),Confidential,Heliopolis,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Females Preferred, Marketing, Advertising, Customer Service, Campaigns, Sales, Customer Care, Customer Support, Account Managing"
Senior Full Stack Developer,Ship To Box,Sheikh Zayed,Full Time,Experienced,3+ Yrs of Exp,Giza,"PHP, OOP, conventional coding, CodeIgniter Framework, Zend, Laravel, WordPress, Magento, HTML5, CSS3, SCSS, javaScript, jQuery"
RMA Technician - Saudi Arabia,Emdad,Riyadh,Full Time,Experienced,3-5 Yrs of Exp,Saudi Arabia,"Low Current, Maintenance, RMA, smart home, Access control, Alarm systems, Multimeter, Oscilloscope, Power Supplies, Optometry, Optics"
Electrical Technical Office Engineer,Samman Engineering & Consulting,Dokki,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Electrical Engineering, Shop Drawings, Technical Office Engineer, AutoCAD, Design, Microsoft Office, Creative/Design/Art"
Administration Section Head,ECS - Energy & Contracting Solutions,Maadi,Full Time,Manager,7+ Yrs of Exp,Cairo,"Construction, Contracting, Management, Communication Skills, Administration, Operations/Management"
Site Architecture Engineer,MG Developments,Ain Sokhna,Full Time,Experienced,10-12 Yrs of Exp,Suez,"Quality Control, QC, Finishing, Site Management, Civil Engineering, Architecture Engineering, Quality Assurance, Quality"
Technical Customer Support Engineer (Handover),M² Developments,Mohandessin,Full Time,Experienced,5-7 Yrs of Exp,Giza,"Technical Support, Civil Engineering, Customer Support, Customer Service, Engineering - Construction/Civil/Architecture"
Sales Manager,Portawest,New Cairo,Full Time,Manager,5+ Yrs of Exp,Cairo,"Sales Target, Customer Service, Customer Care, Customer Support, Business Development, Sales/Retail"
Mathematics Teacher,El Massria Integrated Schools,10th of Ramadan City,Full Time,Experienced,2-3 Yrs of Exp,Sharqia,"Teaching, Mathematics, Teacher, Computer Skills, Education/Teaching"
