Title,Company,Location,Type,Level,YearsExp,Country,Skills
Sales Representative,Aqar Vision,New Cairo,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Sales Skills, Customer Service, Sales Target, A+, Brokerage, English, MS Office, MS, Business Development, Sales/Retail"
Sales Representative,National Builders,Sheikh Zayed,Full Time,Experienced,2-5 Yrs of Exp,Giza,"Sales Target, Sales/Retail"
Online Recruiter,The Translation Gate,Maadi,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"online recruiter, freelance recruiter, human resources, hr, recruitment, vendor manager, vendor management, VM, English"
Test Analyst ( CRX ),Cegedim,New Cairo,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Jira, Healthcare, Automation Testing, ISTQB, API Testing, Software Testing, Atlassian, JMeter, Swagger, Pharmacy, CRX, Quality"
Fixed Asset Accountant,Creative Pan,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Financial Analysis, Fixed Assets, Fixed Asset Accountant, Accounting/Finance"
Project Coordinator,Confidential,Maadi,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Petrol, Oil & Gas, Mechanical Engineering, Project Management, Production, Project/Program Management, Engineering - Mechanical/Electrical"
Technical Product Manager,Nagwa,Nasr City,Full Time,Manager,8+ Yrs of Exp,Cairo,"Product Management, Technical, Leadership, Information Technology (IT), Computer Science, Engineering, Telecom, Information Systems"
Senior System Analyst,RDI,Dokki,Full Time,Experienced,5+ Yrs of Exp,Giza,"Computer Science, Computer Engineering, Agile, UML, SCRUM, Information Technology (IT), Business Analysis, Design, Troubleshooting"
Marketing Manager,Maxevia Corporate,Nasr City,Full Time,Manager,4-10 Yrs of Exp,Cairo,"Social Media, Analysis, SEO, Marketing Strategies, Marketing Campaigns, Sales, Marketing Management, Marketing/PR/Advertising"
Business Development Coordinator,Artemis,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Business Development, Marketing, Sales, Customer Service, English, CRM, Communication, Business Development, Customer Service/Support"
Cost Control Engineer,Confidential,Madinaty,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Engineering, Accounting, Finance, Financial Management, Financial Analysis, Construction, Control Scope, PMO, Engineering - Other"
Operations Coordinator,Berlitz Egypt,Abbassia,Full Time,Entry Level,0-1 Yrs of Exp,Cairo,"Administration, Microsoft Office, Reception, Office Management, Customer Service, Customer Care, Administration, Customer Service/Support"
Dentist -Treatment Planner,360Imaging,Dokki,Full Time,Work From Home,1+ Yrs of Exp,Giza,"4 Vacancies, Dental Implants, English, Computer Skills, Surgery Consulting, Digital Dentistry, Medical, Medical/Healthcare"
Façade Design Director,Smart Window,New Cairo,Full Time,Manager,7-10 Yrs of Exp,Cairo,"Architecture, Construction, Facade, Design, Curtain Wall, Aluminum, Engineering - Construction/Civil/Architecture"
IT Specialist,Confidential,Obour City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"IT, Information Technology (IT), Configuration, Maintenance, Computer Science, Troubleshooting, Microsoft Office, Networking, WAN"
Accountant,Signtech Communications S.A.E,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Finance, Accounting, Financial Analysis, Financial Management, Accounting/Finance"
HR Business Partner - Alexandria,Caduceus Lane,Alexandria,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Human Resources (HR), Interviewing, Screening, OD, Training, Recruitment, Adminstration, HR, Personnel, Labor Law, Commerce"
Funeral Operation Lead,SOKNA,Downtown,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Startup, Administration, Customer Service, Customer Care, Customer Support, Funeral Service, Event Manager, Administration"
Lighting Sales Engineer,MCV,Cairo,Full Time,Experienced,6-10 Yrs of Exp,Egypt,"Sales Target, Mechanical Engineering, Lighting, Sales/Retail, Engineering - Mechanical/Electrical"
Biomedical Manager,Confidential,Alexandria,Full Time,Experienced,5-20 Yrs of Exp,Egypt,"Pharmacy, Medical/Healthcare, Pharmaceutical, Engineering - Other"
Receptionist,Cairoscan,Cairo,Full Time,Entry Level,0-1 Yrs of Exp,Egypt,"Males Only, Administration, Customer Service, Secretary, Microsoft Office, Office Management, English, Reception, Administration"
Assistant Lecturer (Economics),The British University in Egypt,Shorouk City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Economics, Lecturer, Teaching, Education, English, Accounting/Finance, Education/Teaching, Training/Instructor"
