Title,Company,Location,Type,Level,YearsExp,Country,Skills
Inventory Accountant,Ghassan Ahmed Alsulaiman for Electronic Services,Maadi,Full Time,Experienced,2-5 Yrs of Exp,Cairo,"Inventory, Finance, Financial Analysis, Commerce, Management Accounting, Accounting/Finance"
Senior Sales Executive (Luxor / Aswan),Nagwa,Luxor,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Sales Target, Digital Education, E-Learning, Communication, Business, Sales/Retail"
Medical Digitization Officer - Cairo,Digital Bridges,Maadi,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Startup, Pharmacist, Vet, Deployment, Digitization, Insurance, Medical, Administration, Chain Pharmacy, Microsoft Office"
Site Manager,Confidential,New Cairo,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Construction, Civil Engineering, Project Management, Architecture, Site Engineering, Engineering - Construction/Civil/Architecture"
Electrical Engineer (Technical Office),MAC EGYPT REAL ESTATE CO.,10th of Ramadan City,Full Time,Manager,4-6 Yrs of Exp,Cairo,"Microsoft Office, Electrical Drawings, AutoCAD, Communication Skills, TO, MS, Projects, Installation/Maintenance/Repair"
Sales Engineer,Confidential,Maadi,Full Time,Entry Level,1+ Yrs of Exp,Cairo,"Sales Target, Mechanical Engineering, Mechatronics, Electrical Engineering, Pipes, Pumps, Sales Engineering, Fire FIghting, Actuators"
Sales Supervisor - FMCG,Mighty Foods,New Cairo,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Startup, Sales Target, Customer Service, FMCG, English, Sales/Retail"
chief of accounts,AlAlamia International,Mokattam,Full Time,Experienced,7-9 Yrs of Exp,Cairo,"Accounting, Finance, ERP, CPA, Accounts Payable, Financial Analysis, Accounting/Finance, Banking, Operations/Management"
Web Developer,Pillars,Hadayek Alahram,Full Time,Experienced,3+ Yrs of Exp,Giza,"HTML/CSS, Information Technology (IT), Computer Science, Quality, Web Development, PHP, ASP.NET, IT/Software Development"
"Software Engineer (Full-Stack, VUEJS, LAMP, GIT,...",Triptab,Haram,Full Time,Experienced,3+ Yrs of Exp,Giza,"PHP, JS, Laravel, Software Development, vuejs, javaScript, MySQL, HTML5, CSS3, APIs, Front-End, MVC, Git, Computer Science"
Associate Infrastructure Consultant (Identity...,BlueCloud,Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Computer Science, Computer Engineering, Microsoft Identity Manager, MIM, ITI, FIM, Microsoft Active Directory, Networks"
Business Development Coordinator,Confidential,Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Egypt,"Marketing, Administration, CRM, Graphic Design, Administration, Business Development, Marketing/PR/Advertising"
Purchasing Manager,DASA,Cairo,Full Time,Manager,7+ Yrs of Exp,Egypt,"Procurement, Logistics, Supply Chain, Food and Beverage, Communication Skills, Management, Operations/Management, Purchasing/Procurement"
Resident Coordinator,Universities of Canada in Egypt,New Capital,Full Time,Experienced,2-3 Yrs of Exp,Cairo,"Computer skills, Administration, Administration, Operations/Management"
Collection Agent - Alexandria,HKDC-Alex,Smouha,Full Time,Entry Level,1+ Yrs of Exp,Alexandria,"Finance, Communication Skills, Computer Skills, Microsoft Office, Customer Service, Customer Care, Customer Support, Collection"
Accountant & Secretary,MGK for Import & Export,Bab Alshareya,Full Time,Experienced,3-4 Yrs of Exp,Cairo,"Accounting, Administration, Excel, Microsoft Office, Accounting/Finance, Administration"
Backend Developer,Bites for Development,Giza,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Node.js, Docker, Typescript based API, Information Technology (IT), Computer Science, Software Development, PHP, Agile, MongoDB"
"Animation,Video & Info-Graphic Designer",Edara Soft,Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Adobe Photoshop, Adobe Illustrator, Info-Graph, Java, Graphics, Animation, Video, Graphic Design, Creative/Design/Art"
Biotechnologist - Plant Tissue Culture,Egyptian French Company for Plants Tissue Culture S.A.E,Obour City,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Females Preferred, Plant Tissue Culture, Biotechnology, Micropropagation, Plant Science, Agriculture, Engineering, English"
"\"Procurement Engineer \"\" Harley-Davidson \"\"\"",SMG Engineering Automotive,Sheikh Zayed,Full Time,Entry Level,0-2 Yrs of Exp,Giza,"Procurement, Logistics, Supply Chain, Logistics/Supply Chain, Purchasing/Procurement, Engineering - Mechanical/Electrical"
