Title,Company,Location,Type,Level,YearsExp,Country,Skills
Software Technical Lead,SmartTech Systems,Nasr City,Full Time,Manager,6-8 Yrs of Exp,Cairo,"Computer Science, Information Technology (IT), .NET, C#, SQL, javaScript, AJAX, jQuery, HTML, Web APIs, Angular +2"
UI Developer,AlQemam For Programming,Mansoura,Full Time,Experienced,2+ Yrs of Exp,Dakahlia,"Information Technology (IT), javaScript, jQuery, HTML, CSS, Angular, Bootstrap, Computer Science, Software Development"
Sales Manager - Real Estate,Concept Property,Sheikh Zayed,Full Time,Manager,8-10 Yrs of Exp,Giza,"Sales Skills, Sales Target, Real Estate Sales, CRM, Communication, MS Office, Sales/Retail"
Accounts Payable Accountant,New Ega Electrical Industries,Downtown,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Finance, Accounts Payable, English, Excel, ERP, FMCG, SAP, Accounting/Finance"
Senior Site Architect,Asass,New Cairo,Full Time,Experienced,5-8 Yrs of Exp,Cairo,"Project Management, Residential, Commercial Projects, Engineering, Site, Finishing, Engineering - Construction/Civil/Architecture"
Social Media Specialist,Arab Travel Agency,Sheraton,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"SEO, Writing, Content Creation, Editing, E-marketing, Marketing/PR/Advertising, Media/Journalism/Publishing"
Quality Control Engineer,ABCO Group,Bourj Alarab,Full Time,Experienced,2-4 Yrs of Exp,Alexandria,"Quality Control, Quality Assurance, Engineering, Manufacturing, ISO, production, QC, QA, English, Plastic, Health & Safety"
HR & Executive Assistant,Togar,Nozha,Full Time,Experienced,4-5 Yrs of Exp,Cairo,"Human Resources (HR), Admin Assistant, HR Assistant, Office Management, Administrative Assistant, Microsoft Office, Administration"
Proposal Engineer,Pinnacle Real Estate Investments and Development Management,Maadi,Full Time,Experienced,8-10 Yrs of Exp,Cairo,"Civil Engineering, Architectural Engineering, English, Computer Skills, Market Segmentation, Proposal, Business Development"
Learning & Development Manager,Maxab,Cairo,Full Time,Manager,4+ Yrs of Exp,Egypt,"Training, Learning & Development, Human Resources, Training/Instructor"
BI Analyst - KSA,SURE International Technology,Riyadh,Full Time,Experienced,5+ Yrs of Exp,Saudi Arabia,"Power BI, BI Analyst, BI Developer, Information Technology, Business Intelligence, Business Analysis, DAX, SQL, IT/Software Development"
Electric Automation Sales Engineer,Industrial Services Center - Datco,Sheraton,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, Electrical Engineering, Electric Automation, Schneider Electric, Industrial Automation, English, Sales/Retail"
Senior Pre Sales Engineer,SMARTTEL,Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Light Current, Fire Alarm, IT, Telecommunications, Access Control, Sales Skills, Pre-Sales, ICT, Sales/Retail"
Programming Trainer,Mishkat Nour,Port Said,Part Time,Experienced,4-7 Yrs of Exp,Egypt,"C++, Java, Python, Programming Languages, Computer Science, Information Technology (IT), IT/Software Development"
Executive Secretary,Confidential,Nasr City,Full Time,Experienced,1-3 Yrs of Exp,Cairo,"Administration, Executive Secretary, Administration"
Sr. Media Buyer - Digital Campaign Manager,Cultark,Heliopolis,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Digital Marketing, Management, Google Analytics, Writing, Facebook, Google Ads, Snapchat, English, Content"
Office Manager / Secretary / Traffic Controller,Better & Partners' Communications,New Cairo,Full Time,Experienced,3+ Yrs of Exp,Cairo,"English, Arabic, Administration, Office Management, Operations, Advertising, Administration, Operations/Management"
Electrical Site Engineer,Tanco Electric,6th of October,Full Time,Experienced,4-7 Yrs of Exp,Giza,"Electrical Engineering, English, Engineering - Mechanical/Electrical"
Mechanical Engineer,Elnady Engineering & Agencies,Nasr City,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Acoustics, AutoCAD, Design, English, Engineering - Mechanical/Electrical"
Field Training Coordinator ( Borg...,Abt Associates,Bourj Alarab,Full Time,Experienced,3-5 Yrs of Exp,Alexandria,"Training, Agricultural Development, Agriculture, Agribusiness, Administration, Training/Instructor"
Motion Graphic Designer,eMarketingo,Maadi,Full Time,Experienced,2-4 Yrs of Exp,Cairo,"Graphic Design, Adobe Suite, Create, Visual, Motion Graphics Design, Adobe Illustrator, Creative/Design/Art"
Senior CRM Developer,Ghassan Ahmed Alsulaiman for Electronic Services,Maadi,Full Time,Experienced,5-6 Yrs of Exp,Cairo,"CRM, Information Technology (IT), Application, Projects, Development, Computer Science, Computer Engineering, IT/Software Development"
