Title,Company,Location,Type,Level,YearsExp,Country,Skills
Site Supervisor مشرف موقع معماري,ZDS Architects,Cairo,Full Time,Experienced,2+ Yrs of Exp,Egypt,"Architecture, Engineering, Engineering - Construction/Civil/Architecture"
Supply Chain Operation Manager,Confidential,Maadi,Full Time,Manager,5-7 Yrs of Exp,Cairo,"Warehousing, Inventory Control, Supply Chain Management, Medical, Pharmacy, Medicine, Material Planning, Suppliers, Doctor, Operations"
Fleet & Administration Specialist,Confidential,Marsa Matruh,Full Time,Experienced,3-5 Yrs of Exp,Matruh,"English, Facility, Logistics, Fleet Management, Administration, Logistics/Supply Chain"
Senior Security Specialist,700 apps,Mohandessin,Full Time,Experienced,8+ Yrs of Exp,Giza,"Information Technology (IT), Security Management, Ethical Hacker, Web Application Penetration Tester, Computer Science, Computer Engineering"
Marketing Specialist,El Nahar for Medical Solutions,Dokki,Full Time,Experienced,2-4 Yrs of Exp,Giza,"Social Media, Advertising, Market Research, Public Relations (PR), English, Marketing/PR/Advertising, Media/Journalism/Publishing"
Sales Manager,Egavet,Giza,Full Time,Manager,10+ Yrs of Exp,Egypt,"Sales Target, Veterinary, Agriculture, Agricultural Engineering, Animal Production, Operations/Management, Sales/Retail"
Web Designer,Recovery franchise marketing services,6th of October,Freelance / Project,Entry Level,2-3 Yrs of Exp,Giza,"Computer Science, Web Development, Software Development, CSS, HTML, Java, XML, Web Design, Programming"
Senior Translator,Khaled Hamada Company,New Cairo,Full Time,Experienced,8-10 Yrs of Exp,Cairo,"CAT Tools, Legal, Editing, Writing, Localization, Writing/Editorial"
Purchasing Coordinator,GIU- AS ( German International University of Applied Science ),New Capital,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Procurement, Business Administration, Microsoft Excel, Microsoft Word, Administration, Purchasing/Procurement"
Full stack Developer (PHP Codeigniter+ Angular...,Safa Soft,Maadi,Full Time,Experienced,4-10 Yrs of Exp,Cairo,"Software Development, Web Development, javaScript, PHP, JSON, MySQL, JQuery, Nosql, Node js, micro services, angular js"
Head of KG Department,Prime International School,Cairo,Full Time,Manager,7+ Yrs of Exp,Egypt,"Education, Teaching, KG, Montessori, Operations/Management, Education/Teaching"
Warehouse Manager,Prifix,Bourj Alarab,Full Time,Manager,5-15 Yrs of Exp,Alexandria,"SAP, ERP System, Warehouse Manager, Supply Chain, Warehousing, Logistics, Warehouse Management, Commerce, Logistics/Supply Chain"
Admin Assistant,Confidential,Mokattam,Full Time,Experienced,2+ Yrs of Exp,Cairo,"Office Management, Secretary, Microsoft Office, Communication Skills, English, MS Office, Administrative Assistant, Arabic"
Junior Sales Executive - Real Estate,Kandeel Group,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Skills, Sales Target, Real Estate, Communication Skills, Negotiation, Presentation, Customer Service, Sales/Retail"
Purchasing Specialist,Tawzef,Sheraton,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Procurement, Logistics, English, Communication, Logistics/Supply Chain, Purchasing/Procurement"
.Net Developer,Egabi FSI,Sheraton,Full Time,Experienced,4-8 Yrs of Exp,Cairo,"Information Technology (IT), Computer Science, ASP.NET, MS SQL Server, javaScript, C#, Entity Framework, Web Services, ADO.NET"
Mobile Developer ( Android watch ),Safa Soft,Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Android, Mobile Development, Mobile Applications, IT/Software Development, Engineering - Telecom/Technology"
Quality Assurance Specialist - Cairo,Mishkat Nour,Nasr City,Full Time,Experienced,4-7 Yrs of Exp,Cairo,"Quality Assurance, Quality Control, QA, QC, Quality"
IT Sales Engineer,cloud4rain,6th of October,Full Time,Experienced,3-5 Yrs of Exp,Giza,"Sales Skills, Computer Science, English, B2B Sales, Software, Marketing, IT/Software Development, Sales/Retail"
CAD Draftsman,Target Recruitment & HR Solutions,Cairo,Full Time,Experienced,7-10 Yrs of Exp,Egypt,"3D, Design, Architecture, Engineering, English, Computer Skills, Office 360, 3D Max, AutoCAD MEP, Creative/Design/Art"
Laboratory Analyst,Alumil,6th of October,Full Time,Entry Level,1-2 Yrs of Exp,Giza,"Laboratory, Science, R&D/Science"
Export Sales Manager - Fresh Agricultural...,Confidential,Cairo,Full Time,Manager,10-20 Yrs of Exp,Egypt,"Export, Business Administration, Logistics, Agricultural Products, Agriculture, Logistics/Supply Chain, Operations/Management"
Sales Executive / Cardboard Box Industry - 10th...,Egyptian Canadian Company For Manufacturing Cartons (Golden Packs),10th of Ramadan City,Full Time,Experienced,7+ Yrs of Exp,Sharqia,"Cardboard Boxes, B2B, Production, FMCG, Sales Target, Sales/Retail"
Site Technical Office Manager,Modern Structures & Equipment,Dakahlia,Full Time,Manager,10-12 Yrs of Exp,Egypt,"Technical Office, Technical Drawings, Construction, Microsoft Office, Engineering - Construction/Civil/Architecture"
Auditor - مراجع حسابات,Confidential,Riyadh,Full Time,Experienced,10-20 Yrs of Exp,Saudi Arabia,"Finance, Accounting, Financial Analysis, Financial Management, Auditing, English, Education, Microsoft, Accounting/Finance"
