Title,Company,Location,Type,Level,YearsExp,Country,Skills
"Software Engineering Intern, PhD, 2021",Google,Cairo,Internship,Entry Level,null Yrs of Exp,Egypt,"Software Engineering, Computer Science, Software Development, C++, Python, Java, Coding, Internship, Programming"
Mechanical Engineer,Almotaheda,Nasr City,Full Time,Entry Level,0-3 Yrs of Exp,Cairo,"Mechanical Engineering, Electrical Engineering, Engineering - Mechanical/Electrical"
Medical Representative,Royal Lab,New Cairo,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Sales Target, Negotiation, Communication Skills, Sales Skills, Medical Sales, Pharmacy, Science, R&D/Science, Sales/Retail"
Product Manager,Easy Cash,Heliopolis,Full Time,Manager,5-7 Yrs of Exp,Cairo,"English, Arabic, Communication Skills, Marketing, Sales, Negotiation Skills, Marketing/PR/Advertising, Sales/Retail"
Ruby On Rails Developer,Pharous LLC,Alexandria,Full Time,Part Time,3-5 Yrs of Exp,Egypt,"2 Vacancies, Ruby On Rails, Information Technology (IT), Computer Science, Software Development, CSS, javaScript, HTML5, Front-End"
Indoor Sales Representative,Smart GYM,Nasr City,Full Time,Entry Level,1-2 Yrs of Exp,Cairo,"Customer Service, Customer Care, Selling Skills, Customer Support, Indoor Sales, Sales Target, Customer Service/Support, Sales/Retail"
Senior Sales Engineer,Ain-Shams for Electro-Mechanical works,Cairo,Full Time,Experienced,3-6 Yrs of Exp,Egypt,"Males Only, Sales Engineering, Business, Technical, Sales Skills, Sales Target, Sales/Retail, Engineering - Mechanical/Electrical"
Digital Marketing Specialist,ITPS,Maadi,Full Time,Part Time,1-2 Yrs of Exp,Cairo,"2 Vacancies, Females Preferred, Social Media, Digital Marketing, Online Marketing, Google Adwords, E-marketing, Writing/Editorial"
Scrum Master / Project Manager,TensorGraph,Cairo,Full Time,Experienced,5+ Yrs of Exp,Egypt,"Planning, Project Management, Information Technology (IT), Computer Science, Scrum Master, Jira, IT/Software Development"
Training Coordinator,Hi-Q Academy,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Education, Training Center, MS Office, Communication Skills, English, Administration, Training/Instructor"
Competitive Intelligence Officer,Misr Elkheir Foundation,Cairo,Full Time,Experienced,3-5 Yrs of Exp,Egypt,"Analysis, Project Management, Planning, Accounting/Finance, Business Development, Analyst/Research"
Senior Team Leader (Onshore Account),Atheel CC,Abbassia,Full Time,Shift Based,1-2 Yrs of Exp,Cairo,"2 Vacancies, Males Only, Customer Service, Customer Care, Customer Support, Call Center, Contact Center, Operation, Operations/Management"
Senior iOS Developer,ITS,Nasr City,Full Time,Experienced,3-6 Yrs of Exp,Cairo,"Objective C, Computer Science, Computer Engineering, Information Technology (IT), Swift, iOS, Design Patterns, Financial Applications"
Social Media Manager,Ebtkar,Nasr City,Full Time,Manager,2-5 Yrs of Exp,Cairo,"E-Marketing, CMS, SEO, SEM, PPC, Advertising, Social Media, Online Marketing, Google Adwords, Facebook Ads, English"
Sales And Marketing Specialist (Females Only) -...,Mishkat Nour,Cairo,Full Time,Entry Level,0-3 Yrs of Exp,Egypt,"Marketing, Sales Skills, Sales Target, Customer Service, Communication Skills, Commerce, Community Service, Marketing/PR/Advertising"
Chief Technology Officer (CTO),Confidential,Heliopolis,Full Time,Senior Management,5+ Yrs of Exp,Cairo,"CTO, Information Technology (IT), Software Development, AWS, Devops, Integrations, Agile, MBA, Node, Frontend, Backend"
Mechanical Maintenance Engineer,Modern Structures & Equipment,Dakahlia,Full Time,Entry Level,1-3 Yrs of Exp,Egypt,"Males Only, Mechanical Engineering, Planning Maintenance, Installation/Maintenance/Repair, Engineering - Mechanical/Electrical"
Senior Sales & Business Development Specialist,Confidential,Cairo,Full Time,Experienced,5-15 Yrs of Exp,Egypt,"Business Development, Sales Skills, Sales Target, Business Development, Sales/Retail"
Light Current Pre -Sales Engineer,Electro Mechanic for Energy (EME),New Heliopolis,Full Time,Entry Level,1-5 Yrs of Exp,Cairo,"Installation, Light Current, Communication, Access Control, Fire Alarm, Engineering, Sales Skills, Visio, Information Technology (IT)"
Chemical Engineer,New City Glass,10th of Ramadan City,Full Time,Experienced,5+ Yrs of Exp,Cairo,"Chemistry, Science, R&D/Science, Engineering - Other"
Construction Manager,MAC EGYPT REAL ESTATE CO.,10th of Ramadan City,Full Time,Manager,10-15 Yrs of Exp,Cairo,"Project Management, Architecture, Construction Management, Quality, Building, Engineering - Construction/Civil/Architecture"
Secretary / Receptionist,Foxxx Pools,Nasr City,Full Time,Experienced,2-7 Yrs of Exp,Cairo,"Secretary, Office Management, Administration, Microsoft Word, Microsoft Excel, Front Office, Microsoft Office, English, Arabic"
Mechanical Site / Technical Office Engineer,Tabarak Holding,New Cairo,Full Time,Experienced,7-12 Yrs of Exp,Cairo,"AutoCAD, HVAC, Plumbing, Fire Fighting, Communication, Microsoft Office, English, Installation/Maintenance/Repair"
Project Sales Executive,Ahram Security Group,Heliopolis,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Sales Skills, Business Development, Engineering, Project Management, Microsoft Office, ERP, Sales Target, Outdoor Sales, Sales/Retail"
Executive Manager,Confidential,Sheikh Zayed,Full Time,Manager,5-10 Yrs of Exp,Giza,"Leather, Production Planning, Manufacturing, Office Management, Administration, Computer, Skills, Leadership, Administration, Fashion"
Production Planning Engineer - 10th of Ramadan...,Confidential,10th of Ramadan City,Full Time,Experienced,2-5 Yrs of Exp,Sharqia,"Planning, Electronics, ERP, Semiconductors, Manufacturing Engineering, Mechanical Engineering, Mechanical Production Engineering"
