Title,Company,Location,Type,Level,YearsExp,Country,Skills
Property Consultant - Real Estate,Own It,New Cairo,Full Time,Entry Level,0-2 Yrs of Exp,Cairo,"Sales Skills, Real Estate, Sales Target, Customer Service, Communication Skills, English, Sales/Retail"
Senior .Net Developer,PL-KSA,Sheraton,Full Time,Experienced,4+ Yrs of Exp,Cairo,"Startup, Azure, Git, jQuery, javaScript, Microsoft SQL Server, WCF, Web API, Information Technology (IT), Software Development"
DevOps Engineers - Alexandria,Confidential,Alexandria,Full Time,Experienced,3+ Yrs of Exp,Egypt,"Solr, Git, Octopus Deploy, Node.js, MongoDB, Azure, AWS, PowerShell, Information Technology (IT), Computer Science, DevOps"
Public Relation Specialist - Infinix Mobile PR,TRANSSION HOLDINGS,Maadi,Full Time,Experienced,3-5 Yrs of Exp,Cairo,"Public Relations (PR), Marketing, Social Media, Advertising, Management, Communication, New Media, Copywriting, English"
Digital Marketing Manager,Happy life travel and tourism,Giza,Full Time,Manager,2-5 Yrs of Exp,Giza,"Google Analytics, Digital Marketing, Social Media, SEO, Online Marketing, SEM, Project Management, Operations/Management"
Sales Representative,Alam Alsahara Petroleum Services,Cairo,Full Time,Shift Based,3-5 Yrs of Exp,Egypt,"2 Vacancies, Sales Skills, Sales Target, Customer Service, Communication, Negotiation, Presentation, MS Office, English"
Senior Computer Vision Engineer,360Imaging,Dokki,Full Time,Part Time,2+ Yrs of Exp,Giza,"2+ Yrs of Exp, 2 Vacancies, Comupter Vision, Machine Learning, Applied Mathematics, Image Processing, R&D, C++, 3D Graphics, CUDA"
Medical Marketing Manager,Cleopatra Hospitals Group,Maadi,Full Time,Manager,10+ Yrs of Exp,Cairo,"Sales, Medicine, Marketing Management, Healthcare, Medical Devices Marketing, Marketing/PR/Advertising, Medical/Healthcare, Pharmaceutical"
Full Stack Software Engineer,Sumerge,Maadi,Full Time,Experienced,3+ Yrs of Exp,Cairo,"Computer Science, Programming, Software Development, Software Engineering, NoSQL, MongoDB, Angular, Kubernetes, Spring"
Project Manager - Portsaid,Mishkat Nour,Port Said,Full Time,Manager,5-7 Yrs of Exp,Egypt,"Project Management, Engineering, Communication, PMP, Project/Program Management, Engineering - Other"
Front Desk Coordinator,Dawi Clinics,Helwan,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Administration, Customer Service, Microsoft Office, Communication Skills, Office Management, Front Desk, MS Office, Sales Skills"
Call Center Agent - Cairo,Confidential,Nasr City,Full Time,Entry Level,1-3 Yrs of Exp,Cairo,"Customer Service, Customer Care, Call Center, Back Office, FMCG, Customer Support, English, Arabic, Customer Service/Support"
QC Engineer (Finishes),Tabarak Holding,New Cairo,Full Time,Experienced,5-7 Yrs of Exp,Cairo,"Architecture, Civil Engineering, Quality, Finishing, Luxurious, Engineering - Construction/Civil/Architecture, Quality"
Language Editor (Arabic – English),Longman Egypt,Dokki,Full Time,Experienced,2+ Yrs of Exp,Giza,"Writing, Editing, Proofreading, Arabic, English, Translation, Alsun, Writing/Editorial, Education/Teaching"
Electrical Quantity Survey Engineer,ECS - Energy & Contracting Solutions,Maadi,Full Time,Experienced,5-9 Yrs of Exp,Cairo,"Electrical Engineering, Contracting, Electrical QS, HVAC, Firefighting, Plumbing, Power, Control"
